Window_Size,Avg_Recall_Std,Avg_Recall_Wgt
10,0.2922008547008547,0.3022089136770851
15,0.21527777777777776,0.15659661592274396
20,0.125,0.18135705496234375
25,0.08814102564102565,0.11085286270675439
30,0.21314102564102563,0.23658580818901156
35,0.1762820512820513,0.1878666598803644
40,0.16025641025641027,0.22827677623679413
45,0.09722222222222221,0.1005223777117481
50,0.1597222222222222,0.16337700270213434
55,0.17361111111111108,0.08928772838600148
60,0.08333333333333333,0.10810817285023792
65,0.16666666666666666,0.1750371555819703
70,0.14583333333333334,0.11723286301296902
75,0.1597222222222222,0.08759517307859793
80,0.125,0.08402257947894103
85,0.21527777777777776,0.10822447642178697
90,0.125,0.08227918583837045
95,0.041666666666666664,0.0805590930278939
100,0.0,0.0
105,0.14583333333333334,0.2136800405638766
110,0.18055555555555555,0.15988433212994999
115,0.10416666666666667,0.08145073621775968
120,0.3819444444444445,0.36380037217846434
125,0.20833333333333334,0.07372346909808386
130,0.2708333333333333,0.25897982289011606
135,0.3680555555555555,0.3612432849671406
140,0.2708333333333333,0.2588086430780833
145,0.17361111111111108,0.10167162952023721
150,0.0625,0.07489788931620991
155,0.10416666666666667,0.09613733365267295
160,0.041666666666666664,0.06579982027876599
165,0.12980769230769232,0.07506730847911379
170,0.0,0.0
175,0.08333333333333333,0.07913159949328648
180,0.08333333333333333,0.0666661716343754
185,0.17361111111111108,0.23162649283334447
190,0.13888888888888887,0.20469466813239226
195,0.08333333333333333,0.09566324356991242
200,0.08333333333333333,0.11843175428377078
205,0.05555555555555555,0.12722493555500103
210,0.1111111111111111,0.15672860351713455
215,0.0,0.0
220,0.08333333333333333,0.12658327453196075
225,0.08333333333333333,0.14600891907652414
230,0.09722222222222221,0.05431834048543512
235,0.10897435897435898,0.138354737786848
240,0.15544871794871795,0.11426472881487483
245,0.20138888888888887,0.16160721514492032
250,0.22916666666666666,0.19942972294457986
255,0.1923076923076923,0.09953600426964682
260,0.2692307692307692,0.2128504944966789
265,0.10256410256410257,0.11445211433644835
270,0.0673076923076923,0.08080569238054379
275,0.08333333333333333,0.07913159949328648
280,0.125,0.19348563613840594
285,0.16666666666666666,0.25549695217036233
290,0.125,0.11085730641051429
295,0.1875,0.08779819873444959
300,0.09722222222222221,0.09387818545529487
