,RMT_Raw,RMT_Vel,RMT_Accel,RMT_Zscore,Target
2017-05-10,41.91369787672433,-0.10950841772302056,0.03705707426141913,-1.0025019857026285,0
2017-05-11,41.48305701294816,0.19482718640301044,0.304335604126031,-1.0474267272516447,0
2017-05-12,41.129524792303606,0.17444972612475595,-0.02037746027825449,-1.0831984150971823,0
2017-05-15,40.70071453238469,0.043592942541422985,-0.13085678358333297,-1.128145874097119,0
2017-05-16,39.52111477270362,-0.4730291843779426,-0.5166221269193656,-1.2641365162535418,0
2017-05-17,39.407687242423705,-0.5012021268601288,-0.02817294248218616,-1.2701340786331952,0
2017-05-18,39.28516525277869,-0.43957835203389095,0.06162377482623782,-1.2769796513426703,0
2017-05-19,39.82510111937726,-0.26088473458526806,0.1786936174486229,-1.2024275890298388,0
2017-05-22,39.08365066471367,-0.3234127735342085,-0.06252803894894043,-1.2854552961649477,0
2017-05-23,39.12696717764488,-0.07882951901174806,0.24458325452246044,-1.2714656433869143,0
2017-05-24,38.87875973003308,-0.10578550247812046,-0.026955983466372402,-1.2936157087096596,0
2017-05-25,38.05995275326952,-0.24504249990183524,-0.13925699742371478,-1.3862387450259814,0
2017-05-26,38.124057215812506,-0.340208780712949,-0.09516628081111378,-1.368514292379855,0
2017-05-29,38.44213872200725,-0.12830238854128595,0.21190639217166307,-1.3192913710533827,0
2017-05-30,37.81814472479306,-0.2617644905703642,-0.13346210202907827,-1.3865102902973505,0
2017-05-31,38.24874589823156,-0.12600276636030117,0.13576172421006305,-1.322274320366092,0
2017-06-01,38.29417976630675,0.04684540260744541,0.17284816896774657,-1.3064270354473384,0
2017-06-02,39.34516962894269,0.24422248262603574,0.19737708001859033,-1.1654871670954519,0
2017-06-05,40.3035176469117,0.37227578498089287,0.12805330235485712,-1.037131228093368,0
2017-06-06,40.3623065814578,0.508832371332943,0.13655658635205015,-1.022144842061421,0
2017-06-07,40.508327234483495,0.4519162672503896,-0.05691610408255343,-0.9967543591136692,0
2017-06-08,40.36154537522787,0.4134731217842287,-0.0384431454661609,-1.008677199591985,0
2017-06-09,38.21594051110727,-0.22584582356708438,-0.6393189453513131,-1.274022688574986,0
2017-06-12,37.89964841438528,-0.48077384650528643,-0.25492802293820205,-1.3067519156318756,0
2017-06-13,37.20402682877286,-0.6316559505369881,-0.15088210403170166,-1.3883527424025564,0
2017-06-14,36.97964261391078,-0.7057369241145395,-0.07408097357755139,-1.4098134239710196,0
2017-06-15,36.97369870267406,-0.6775693345107641,0.02816758960377541,-1.401275486206697,0
2017-06-16,36.87434931807138,-0.2683182386071792,0.4092510959035849,-1.4050262549505812,0
2017-06-19,37.06245219622576,-0.16743924363190388,0.1008789949752753,-1.3704416891750868,0
2017-06-20,36.92939779913506,-0.05492580592756724,0.11251343770433664,-1.3757155112759403,0
2017-06-21,37.04125711543701,0.012322900305250073,0.06724870623281731,-1.3496098515419872,0
2017-06-22,37.15592364149904,0.03644498776499461,0.024122087459744534,-1.3235313344019224,0
2017-06-23,37.049022760508734,0.03493468848747483,-0.0015102992775197777,-1.3263362035422501,0
2017-06-26,36.5144718241368,-0.1095960744177944,-0.14453076290526923,-1.3838816460369026,0
2017-06-27,36.51952064998785,-0.08197542982944128,0.027620644588353116,-1.371876208905281,0
2017-06-28,35.9201556669595,-0.22422028969550212,-0.14224485986606084,-1.4374594552128477,0
2017-06-29,35.19694940758961,-0.3917948467818917,-0.16757455708638958,-1.5180050288840947,0
2017-06-30,35.261445901112644,-0.35751537187921656,0.03427947490267513,-1.496945542851991,0
2017-07-03,35.26673134662822,-0.24954809550171575,0.10796727637750081,-1.4885035773003055,0
2017-07-04,35.24232159082422,-0.2554398118327228,-0.005891716331007046,-1.4830398081750975,0
2017-07-05,35.00746469485235,-0.18253819442143282,0.07290161741128998,-1.505260579722668,0
2017-07-06,34.966022450868536,-0.04618539134420985,0.13635280307722297,-1.5014460301407329,0
2017-07-07,34.417107476815644,-0.16886768485939996,-0.12268229351519011,-1.5638319167572299,0
2017-07-10,34.353339183575734,-0.18267843261050132,-0.01381074775110136,-1.562979053470243,0
2017-07-11,34.43982571783157,-0.16049917459852736,0.022179258011973957,-1.5428471037419267,0
2017-07-12,34.65636526067626,-0.0702198868352184,0.09027928776330896,-1.5059745587483562,0
2017-07-13,34.79931836327172,-0.03334081751935969,0.036879069315858715,-1.479568450772856,0
2017-07-14,34.63984304237577,0.04454711311203141,0.0778879306313911,-1.4931570633085156,0
2017-07-18,34.65269775676737,0.05987171463831942,0.015324601526288006,-1.4839075080842026,0
2017-07-19,32.15911721250506,-0.45614170106530594,-0.5160134157036254,-1.8108360740753986,0
2017-07-20,32.179993548526255,-0.495274342430001,-0.039132641364695075,-1.7997899128664692,0
2017-07-21,32.09659930304234,-0.5405438120458754,-0.045269469615874414,-1.802975079751037,0
2017-07-24,31.235917736483977,-0.680785061178355,-0.1402412491324796,-1.9111840863646838,0
2017-07-25,30.60663659809928,-0.8092122317336177,-0.12842717055526265,-1.9861084442102188,0
2017-07-26,30.783762985775983,-0.2750708453458195,0.5341413863877982,-1.9503801942841907,0
2017-07-27,30.370312101033885,-0.3619362894984768,-0.08686544415265729,-1.995570401077446,0
2017-07-28,29.797118427502856,-0.45989617510789316,-0.09795988560941638,-2.062331906875313,0
2017-07-31,29.509986150937205,-0.3451863171093521,0.11470985799854105,-2.0896235853517218,0
2017-08-01,28.860716626031746,-0.34918399441350445,-0.003997677304152347,-2.1655918926945374,0
2017-08-02,28.981465603981167,-0.36045947635896525,-0.011275481945460797,-2.135744455161576,0
2017-08-03,27.33001351005485,-0.6080597181958076,-0.24760024183684237,-2.3474031372848176,0
2017-08-04,27.101101485699143,-0.5392033883607432,0.0688563298350644,-2.3600166517723427,0
2017-08-07,26.692933353429115,-0.5634105595016194,-0.024207171140876227,-2.392253895745882,0
2017-08-08,26.64650880304168,-0.4428415645980124,0.12056899490360706,-2.373445680831821,0
2017-08-09,26.003621475689677,-0.5955688256582974,-0.152727261060285,-2.4341956738736945,0
2017-08-10,25.796974848696173,-0.30660773227173266,0.2889610933865647,-2.4347971542195905,0
2017-08-14,25.66229046301781,-0.2877622045362678,0.018845527735464884,-2.425154790604911,0
2017-08-15,26.46145751010864,-0.04629516866409489,0.24146703587217289,-2.291374129001742,0
2017-08-16,26.951465980993294,0.06099143559032427,0.10728660425441916,-2.2032710188665545,0
2017-08-17,26.959927341640576,0.19126117319017766,0.13026973759985339,-2.1816937354333743,0
2017-08-18,27.1177648950294,0.264158009266648,0.07289683607647035,-2.139367813390105,0
2017-08-21,27.47338307432682,0.3622185222617986,0.09806051299515062,-2.07073853737914,0
2017-08-22,27.21102037854424,0.14991257368711786,-0.21230594857468077,-2.085542741375947,0
2017-08-23,26.513909809184096,-0.08751123436183761,-0.23742380804895546,-2.1561249801684914,0
2017-08-24,25.697920690857025,-0.25240133015670807,-0.16489009579487046,-2.2384228571929246,0
2017-08-25,25.91736710464501,-0.24007955807687864,0.01232177207982943,-2.18364223626507,0
2017-08-28,26.07535010624869,-0.2796065936156289,-0.039527035538750255,-2.137562860996612,0
2017-08-29,26.271769866283503,-0.18785010245214906,0.09175649116347984,-2.088007744784503,0
2017-08-30,26.22092819692987,-0.058596322450842564,0.1292537800013065,-2.071583162800018,0
2017-08-31,23.810551757624246,-0.3774737866465543,-0.3188774641957117,-2.3568607344854073,0
2017-09-01,24.16689495818504,-0.3500944292919961,0.02737935735455821,-2.2815043771680195,0
2017-09-04,24.394133880565036,-0.33624324513673187,0.013851184155264207,-2.224157136610506,0
2017-09-05,24.79325545281081,-0.29570288269453826,0.04054036244219361,-2.1467059857631132,0
2017-09-06,24.959387927395102,-0.2523080539069511,0.04339482878758716,-2.10093739844104,0
2017-09-07,25.271656409983184,0.2922209304717853,0.5445289843787364,-2.0385333846980362,0
2017-09-08,25.361106921575285,0.2388423926780483,-0.053378537793737024,-2.0053816163216562,0
2017-09-11,25.085913589726424,0.1383559418322804,-0.1004864508457679,-2.0182594592414165,0
2017-09-12,24.644504365516312,-0.029750217458900607,-0.168106159291181,-2.051308850804379,0
2017-09-13,25.302546675046827,0.06863174953034701,0.09838196698924762,-1.9484600656383146,0
2017-09-14,25.39404371730621,0.024477461464602612,-0.044154288065744396,-1.9178625166849628,0
2017-09-15,25.4451506422808,0.016808744141101783,-0.007668717323500829,-1.8927952473578735,0
2017-09-19,25.28693708112878,0.040204698280472684,0.0233959541393709,-1.8940720810670848,0
2017-09-20,27.49282578703824,0.569664284304384,0.5294595860239113,-1.6070001443431106,0
2017-09-21,27.25125747547031,0.3897421600847011,-0.1799221242196829,-1.6238576421690658,0
2017-09-22,27.007442918121868,0.32267984016312923,-0.06706231992157186,-1.640786262790595,0
2017-09-25,26.909949239624584,0.2929597194687581,-0.029720120694371133,-1.6396503886415685,0
2017-09-26,26.875337572464996,0.3176800982672425,0.024720378798484433,-1.6307761692030773,0
2017-09-27,26.30326344414389,-0.23791246857887316,-0.5555925668461157,-1.6878594092510797,0
2017-09-28,24.041475919220183,-0.64195631125002,-0.4040438426711468,-1.9503675047926974,0
2017-09-29,24.241335964680825,-0.5532213906882149,0.0887349205618051,-1.9079344066297892,0
2017-10-02,23.745664264047832,-0.6328569951153469,-0.07963560442713202,-1.9507525053042987,0
2017-10-03,23.836246892664292,-0.6078181359601409,0.025038859155205984,-1.9215984505047465,0
2017-10-04,24.30494263527008,-0.39966416177476205,0.20815397418537884,-1.8470343317924869,0
