,RMT_Max_Eigen
2016-03-02,21.982885058491842
2016-03-03,22.42757151729414
2016-03-04,22.28482746985901
2016-03-07,22.12641862362159
2016-03-08,22.07709757120214
2016-03-09,22.035465020924875
2016-03-10,21.937104699766376
2016-03-11,21.94835123938789
2016-03-14,21.908505600469628
2016-03-15,21.880037863299354
2016-03-16,21.815462732391783
2016-03-17,21.682980335610818
2016-03-18,21.64996862484982
2016-03-22,21.607173916360356
2016-03-23,21.635981975779494
2016-03-24,21.634347177171456
2016-03-25,21.558204421950112
2016-03-28,21.537371936952447
2016-03-29,21.572531605971562
2016-03-30,21.51368076982983
2016-03-31,21.52781523281084
2016-04-01,21.334199155993105
2016-04-04,21.531676275077132
2016-04-05,21.505451029865128
2016-04-06,21.55762058578808
2016-04-07,21.579491631656875
2016-04-08,21.38096040290316
2016-04-11,21.01770254702635
2016-04-12,20.853326297933773
2016-04-13,20.78286138950247
2016-04-14,20.9531371155768
2016-04-15,21.209426540304094
2016-04-18,21.019653919420445
2016-04-19,21.206242794522616
2016-04-20,20.865310977676263
2016-04-21,20.820162397673695
2016-04-22,20.831287309294126
2016-04-25,20.662262665217337
2016-04-26,20.663199749057476
2016-04-27,21.066135745851017
2016-04-28,21.527105228168505
2016-05-02,21.572646627768908
2016-05-06,21.62323496146033
2016-05-09,21.736788504890672
2016-05-10,21.75641583244833
2016-05-11,21.876051523261058
2016-05-12,21.006821936727246
2016-05-13,20.927250851608814
2016-05-16,20.205399356413988
2016-05-17,18.118524263995265
2016-05-18,18.332581607329665
2016-05-19,18.443893442373298
2016-05-20,18.218845028192344
2016-05-23,18.098455004262924
2016-05-24,18.164881096846653
2016-05-25,18.308759663315445
2016-05-26,18.319079664730182
2016-05-27,18.286264150216255
2016-05-30,18.360267243566863
2016-05-31,18.412543595125367
2016-06-01,18.49728238552989
2016-06-02,17.696929393695232
2016-06-03,18.07229839659472
2016-06-06,18.146449948772002
2016-06-07,18.156043621765367
2016-06-08,18.187895437245782
2016-06-09,18.329664155260534
2016-06-10,18.334853997113537
2016-06-13,18.374987103648262
2016-06-14,18.883147226756357
2016-06-15,18.920366182492327
2016-06-16,18.92426618946493
2016-06-17,19.257951925376602
2016-06-20,19.274908931521026
2016-06-21,19.3824101488937
2016-06-22,19.446669217157382
2016-06-23,19.67171636220669
2016-06-24,19.751837438152364
2016-06-27,21.74245028716658
2016-06-28,21.345812146906006
2016-06-29,21.229475985680903
2016-06-30,21.421509892664133
2016-07-01,21.062181783316348
2016-07-04,21.100670507619625
2016-07-05,20.989296912935753
2016-07-06,21.011136899600473
2016-07-07,21.129617047748628
2016-07-08,21.318365851129776
2016-07-11,21.212414819734054
2016-07-12,21.652920138398162
2016-07-13,21.4813867195469
2016-07-14,21.002380198938422
2016-07-15,20.927133381123877
2016-07-19,19.986360274523555
2016-07-20,19.36371877273927
2016-07-21,19.39012356293522
2016-07-22,19.119386813227482
2016-07-25,19.13608312258665
2016-07-26,19.11967974315772
2016-07-27,19.17017275576955
2016-07-28,19.081805896690916
2016-07-29,19.099916962711674
2016-08-01,18.47230043198305
2016-08-02,18.203859074503253
2016-08-03,18.310717793158442
2016-08-04,17.911170322589975
2016-08-05,17.785598919550544
2016-08-08,17.82477206591881
2016-08-09,17.903815027853824
2016-08-10,17.91967457696625
2016-08-12,17.76991223500519
2016-08-15,17.842387450496712
2016-08-16,17.817385293482563
2016-08-17,17.89760879623607
2016-08-18,17.810216634625533
2016-08-19,17.789189825009018
2016-08-22,17.690940415510127
2016-08-23,17.739957707837284
2016-08-24,17.649699116769906
2016-08-25,17.608665658056616
2016-08-26,17.497291816988135
2016-08-29,17.420793940606654
2016-08-30,17.27208786714488
2016-08-31,17.302248624040022
2016-09-01,17.272819356349522
2016-09-02,17.245506734041623
2016-09-05,17.154036841965837
2016-09-06,17.022541656198644
2016-09-07,17.017422473821235
2016-09-08,16.34850388068585
2016-09-09,16.30324583423172
2016-09-12,16.325864739753982
2016-09-13,16.105108718370317
2016-09-14,16.061877314087507
2016-09-15,15.910185256709234
2016-09-16,15.933019627807633
2016-09-20,15.895820691296368
2016-09-21,15.803808817722555
2016-09-23,12.225342162606225
2016-09-26,12.483830157768907
2016-09-27,12.642692564062378
2016-09-28,12.365826698208425
2016-09-29,12.475227878329282
2016-09-30,12.55086903751496
2016-10-03,12.742237824503771
2016-10-04,12.722280097194522
2016-10-05,12.490272749935007
2016-10-06,12.411249581577362
2016-10-07,12.369400508325313
2016-10-11,11.172486177766412
2016-10-12,10.731578426902681
2016-10-13,10.851764365607362
2016-10-14,10.887465330894361
2016-10-17,11.226121389164375
2016-10-18,11.23531952954701
2016-10-19,11.243369630335508
2016-10-20,11.272201890328617
2016-10-21,11.290720205939593
2016-10-24,11.39691644767276
2016-10-25,11.273139204369771
2016-10-26,11.535079013265932
2016-10-27,11.390011885256596
2016-10-28,11.657312304345647
2016-10-31,12.064063357193778
2016-11-01,11.770903084776004
2016-11-02,11.824492246493316
2016-11-04,12.250407709156635
2016-11-07,12.758534823202
2016-11-08,12.371320556376162
2016-11-09,12.33871865128379
2016-11-10,14.833106257738988
2016-11-11,17.643539173931774
2016-11-14,17.380622631554303
2016-11-15,17.293492479597095
2016-11-16,17.286324485265098
2016-11-17,17.165726573748696
