Window_Size,Average_Recall,2020 Covid,temp4,2024 Ueda,2025 Tariff
100,0.0,0.0,0.0,0.0,0.0
105,0.027777777777777776,0.0,0.0,0.1111111111111111,0.0
110,0.125,0.0,0.0,0.16666666666666666,0.3333333333333333
115,0.041666666666666664,0.0,0.0,0.0,0.16666666666666666
120,0.19444444444444442,0.0,0.0,0.1111111111111111,0.6666666666666666
125,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333
130,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.5
135,0.06944444444444445,0.0,0.0,0.1111111111111111,0.16666666666666666
140,0.18055555555555552,0.2222222222222222,0.0,0.16666666666666666,0.3333333333333333
145,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
150,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0
155,0.027777777777777776,0.0,0.0,0.1111111111111111,0.0
160,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0
165,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0
170,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
175,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0
180,0.06944444444444445,0.1111111111111111,0.0,0.16666666666666666,0.0
185,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0
190,0.06944444444444445,0.1111111111111111,0.0,0.16666666666666666,0.0
195,0.08333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.0
200,0.027777777777777776,0.0,0.0,0.1111111111111111,0.0
205,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0
210,0.041666666666666664,0.0,0.0,0.16666666666666666,0.0
215,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0
220,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
225,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0
230,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0
235,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
240,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
245,0.0,0.0,0.0,0.0,0.0
250,0.06944444444444445,0.1111111111111111,0.0,0.16666666666666666,0.0
255,0.06944444444444445,0.2222222222222222,0.0,0.05555555555555555,0.0
260,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0
265,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
270,0.041666666666666664,0.1111111111111111,0.0,0.05555555555555555,0.0
275,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0
280,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0
285,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0
290,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0
295,0.0,0.0,0.0,0.0,0.0
