Date,19250,19280,25020,25030,28020,29140,33820,34070,40630,41880,43070,44520,45020,45030,45070,45190,45430,45680,45780,46610,46890,49010,50200,51080,54010,58020,58030,60980,61460,61780,62010,62730,63010,63260,63670,65010,65030,67010,67020,67230,67520,67580,67620,68570,68610,69020,69200,69540,69710,69810,70110,71820,72030,72670,72690,72700,73090,77330,77410,77510,78320,79740,80010,80020,80150,80310,80350,80530,80580,81130,82670,83060,83080,83090,83160,84110,85910,86040,86300,86970,87250,87500,87660,88010,88020,88300,90200,90210,90220,91010,92020,94320,94330,97350,99830,99840
2016-02-01,2361148198520,1410495888675,1872444457664,1562940000000,1877338325332,9670000000000,4874544464517,1096986233257,2657888268643,1014936926497,1100137500000,3254328000000,4618687992275,3773766662738,1922119367210,1956102182055,1465875607200,1772528357500,2322269673571,2902247476800,2642603563200,2438296699264,1144180298447,3561388165980,2230404330494,1263159448461,223735321020,2159522438200,425892324900,6723000000000,1964819059200,1852320525705,1797168203340,2253303715800,2402362122708,2918445193071,2413454543324,830909710565,983672654818,1378711953230,2795254459832,3580184436960,904542799820,226907417490,3561776532180,4584780345618,28073775600,3277570351725,1857505795020,3569301615240,1608217912457,6093000000000,24497563593788,6131685235550,2050627896120,3834477045954,1811748800000,1655103383640,1874618352960,4521458142960,608946000000,2451582045000,2370448987952,1003660869750,970114853840,2463919125181,1385827520103,1481964397395,3086339167791,1513594069722,1453498261524,8162676685702,1170425870628,1388860463966,5199482533125,4818778093094,2438916361176,2571820117953,1508144179514,998756692900,2104428498542,1743123465000,3462643918125,2986171277724,3379360144259,1684392190164,4445062500000,1428601890000,4647360000000,423437196012,1191364877072,11274409459660,8648523031200,1971289658650,3995794621520,6549602291075
2016-02-02,2383800297490,1397366744554,1891787892144,1564768000000,1858909735058,9532000000000,4871885138568,1057292191062,2598689651702,972610230690,1110037500000,3246768000000,4701658435250,3862639589738,1965309115505,2031659777070,1488661238400,1785999573017,2424353591482,2905884378400,2665384628400,2442413705088,1104252523583,3543499914918,2057445835330,1238150320475,207496467075,2173655438450,413008187340,6826500000000,1919201369600,1836825573135,1761205399920,2187945458850,2367774673894,2863343710459,2526182624752,817886047390,939167263238,1363707832820,2763364764371,3399029124300,899359173460,221519114700,3595825607940,4528199947986,32033804400,3321847927950,1879407672660,3508480445400,1566047314795,6097500000000,24380733681568,6138930949270,1995645260328,3755407592781,1814530400000,1653390026100,1923325958400,4497450400608,606060000000,2433165075000,2313910744816,969423434020,957014762748,2409125444307,1360722603474,1461329450090,3010810517369,1511110732446,1440419392944,8195265049488,1129521392226,1393544647656,5165545198125,4828729106193,2340273978490,2556147611289,1461624722586,993815071000,2077196953120,1770078982500,3348257737500,2861747474486,3274385163435,1622977099002,4515712500000,1496215405000,4655600000000,409832788108,1183980384032,11133951030170,8624305014000,1979454763745,3950182949440,6305868236980
2016-02-03,2353819578265,1398076428020,1863256326286,1532321000000,1842859027400,9298000000000,4809834199758,999925183083,2501033539084,923203980780,1112512500000,3164112000000,4594982151425,3755992077338,1903158014300,2090426795415,1456381594200,1740622847065,2389209947611,2885154039280,2699556226200,2364705220160,1142183909703,3496339980300,1894465714887,1161932025659,199196608392,2159522438200,399766157070,6732000000000,1782348300800,1706802710265,1650401086680,2052249268230,2243494349342,2687405643172,2403792136345,773605592595,886795802449,1287020106280,2599010180072,3311923085460,855298349400,211141642660,3479085919620,4207283005167,32363806800,3243589886250,1781982079020,3300111622800,1456741125653,5944500000000,23032182694800,5776645263270,1871092758840,3594137222943,1766316000000,1596849227280,1815503139520,4372076634992,600288000000,2392081065000,2216631708832,907900326160,890098081224,2268099085338,1277641584414,1367534235065,2803305488313,1494037788674,1418185316358,7818373537876,1082574206788,1318988057263,5017069357500,4744145494853,2240969566390,2293537560600,1381046377550,961419994100,1996135608608,1696999579500,3227811361875,2803253415593,3282032347469,1564418523708,4458800000000,1492534440000,4683410000000,389426176252,1142486565999,11207324836620,8352525043200,1987386580123,3884417282720,5998499183540
2016-02-04,2323172620835,1369689089380,1831339659394,1517697000000,1808379729468,9220000000000,4664457714546,1026013846858,2560232156025,987823740571,1081575000000,3101616000000,4502529372110,3684893735738,1827312602660,2034458206515,1437393568200,1705172279915,2325058851656,2804414823760,2602736699100,2370366103168,1168136963365,3417469055163,1951009838306,1214729073630,196670564445,2111470237350,397976693520,6606000000000,1739989017600,1701076314750,1652831005830,1975686738660,2224148827124,2477633332176,2401644934794,773605592595,881206753274,1272015985870,2372593342298,3308135866380,870849228480,214733844520,3552656244030,4111803584163,32434521600,3293016017850,1802373482340,3219016729680,1452018018715,5980500000000,22538159065984,5763965264260,1877825326488,3467312951517,1736645600000,1572862221720,1779284663680,4420092119696,582972000000,2435998455000,2222451822096,919023147920,883371007420,2313011938513,1244047954968,1400049909607,2899505137799,1406189732535,1393335466056,7903386660796,1089314149252,1316255616778,5015655301875,4736682235029,2224418831040,2263339316052,1342003261914,947693266600,1931539849700,1662256912500,3113425181250,2721460875615,3241015633107,1553944632192,4327312500000,1482847690000,4655600000000,392827278228,1149519416513,10897058455060,8382124842000,1968490194046,3755007422400,6099354654200
2016-02-05,2183262597785,1316462829430,1811996224914,1507643000000,1745365840144,9364000000000,4546560930807,1019141026831,2519614126883,967488851126,1045687500000,3081456000000,4512011708450,3658231857638,1791496713830,2006473912065,1519042080000,1686028973654,2317806988635,2759317243920,2591346166500,2353898079872,1208314286822,3335345720742,2006603640323,1202422994780,192701066814,2077551036750,389387268480,6385500000000,1687854515200,1689286676925,1697541518190,1937094244080,2231769790422,2469416444418,2413454543324,781419790500,867751634890,1247009118520,2308568646027,3301192631400,807349805570,210542942350,3498542534340,3988918033056,31703802000,3264184107750,1765744480080,3116521795320,1423679377086,5926500000000,22114233384500,5648033844740,1808255460792,3303693984060,1736645600000,1566008791560,1763465099520,4470775131328,582972000000,2414039760000,2304764852544,1016695426500,874873651036,2402837644863,1227612362067,1463205354390,2967083403966,1382287611254,1351047124314,7625677125924,1052825495223,1297909230660,4850210793750,4520247700130,2135044860150,2208294414598,1300052680220,948791404800,1874543591840,1611939946500,3055095804375,2631736937822,3102671121956,1457775264636,4229187500000,1452431295000,4562900000000,397928931192,1117168304149,10850937776720,8352525043200,1925331781401,3669087761040,6053729560330
2016-02-08,2235229177775,1345205009803,1806676780432,1520439000000,1768847430977,9286000000000,4578472842195,1065988412320,2584862237526,986919967706,1046925000000,3129336000000,4618687992275,3693781028438,1822396696350,2028861347625,1549422921600,1716161955732,2338446906464,2840056459440,2648298829500,2379629366272,1181862135974,3365430506619,1982845605273,1197262381068,194505383919,2102990437200,401197727910,6376500000000,1691112921600,1689960370515,1741280062890,1993115607180,2259322503884,2394014415581,2454251372793,781419790500,869821653103,1268681736890,2308813951376,3243121938840,790503019900,220122147310,3527119437210,3983613620778,33613101600,3373333481700,1772919233100,3145806062280,1440210251370,5971500000000,21880573560060,5667959557470,1812182791920,3278642276124,1752408000000,1488907702260,1752641187200,4496116637144,592740000000,2460082185000,2299776184032,993754606620,870979029360,2380381218275,1235559242151,1446947517119,2972648672945,1420468921872,1412081844354,7625677125924,1052360671605,1300641671146,4824757792500,4517759946855,2155567771984,2143693106641,1291745634340,937260953700,1883726322273,1614935004000,2985403561875,2641651185092,3132564659541,1478246961690,4268437500000,1472773470000,4630880000000,406431686132,1128420864971,11127661846760,8610850560000,1961491532536,3720003115920,6128170502960
2016-02-09,2088656772675,1264655936412,1752998749750,1470626000000,1730801309121,9080000000000,4387001373867,1007920096175,2405537959931,933597368719,968962500000,2969064000000,4421929513220,3613795394138,1693529723795,1916924169825,1473470817600,1632498617258,2228553289915,2909521280000,2460355041600,2217007636224,1130205577244,3163781131011,1859303823013,1103577393690,181875164184,2023845635800,372566311110,6030000000000,1559147462400,1580485162140,1650887070510,1845592684350,2126248760142,2251910592003,2306094465774,729325137800,804616079393,1163652894020,2106682343224,3015257590860,743850382660,205753339870,3217029640110,3720161144304,30925939200,3264184107750,1673605546560,2827058079600,1313023728820,5670000000000,20542036565768,5285748158740,1648918026456,3014033611050,1649488800000,1401526467720,1595278154240,4282714482904,552780000000,2243328615000,2213305929824,954650936370,820348947572,2267200828274,1162773045018,1356904110695,2757193259634,1340691711881,1352355011172,6959740996384,968460008520,1210080786480,4392056771250,4236643826814,2003963036178,1949506926510,1203483271865,889491942000,1748201886917,1547845716000,2803597711875,2497398887313,2968497802095,1384458024024,4109475000000,1416784055000,4470200000000,375821768348,1088333617042,10693708191470,8274489210000,1877274305699,3486641072720,5727149941050
2016-02-10,1978727468850,1214623252059,1612275263908,1394764000000,1683540892128,8760000000000,4241624888655,979587246269,2375722598114,903622235389,933075000000,2873304000000,4220429865995,3507147881738,1614524086670,1844165004255,1450685186400,1563370011315,2146551454216,2934979591200,2505917172000,2148562414400,1105999363733,3092228126763,1798958413986,1066262186853,178988256816,1927741234100,363261100650,5809500000000,1555889056000,1694676225645,1604232622830,1759070801340,2152629017712,2225809889714,2238457616918,700673078815,771288786164,1108637785850,2101040320181,2955293288760,736074943120,203158971860,3273575426640,3665348884098,30643080000,3333174749775,1709101693080,2848458120840,1269166307251,5373000000000,20451910633484,5245896733280,1620585137604,2988199037241,1505772800000,1392959680020,1614844457280,4157340717288,484626000000,2160452250000,2112701114832,917632795200,794856878420,2182764664305,1131166135593,1297500474513,2636347418958,1304683321379,1325325349440,6466664883448,918491469563,1148405701234,4214592790313,4007770525542,1898700359352,1880318543432,1148864445204,861489417900,1690255691426,1516098106500,2695271726250,2424033457515,2903149138536,1361129811102,3904197500000,1330184510000,4245660000000,362217360444,1042268446175,10247176169360,7861437472200,1809853866486,3449515293120,5526639660095
2016-02-12,1833820659263,1143654905459,1609373748736,1343580000000,1629146827287,8250000000000,3921619332792,906090150472,2239176883126,818366328533,879862500000,2713536000000,4019720413465,3326069292975,1519717322120,1779801127020,1403215121400,1508067126561,2105271618558,2782229724000,2300887585200,2011671970752,1058585131082,2902775285970,1695848541869,995998446320,167440627344,1823157032250,341071752630,5593500000000,1459766067200,1653244069860,1522587339390,1634578883340,2021607071781,2083222719797,2036620671124,651183158750,737547489292,1013611689920,1966612988545,2849251154520,690718212470,194577600750,3134947046760,3439027293570,28922353200,3173569533150,1771031140200,2631078754560,1183138288019,5278500000000,19059965679320,4956973898695,1498557348984,2718110311056,1472393600000,1300438372860,1541991201280,3982617703504,474192000000,2032950150000,1951400832944,863235245030,739624061924,2113598870416,1108047938985,1233094426862,2491650425517,1272710353950,1255571383680,6322142574484,876424932116,1139427682495,4043492059688,3860993082334,1671624270350,1707156457607,1116259290125,808229715200,1605394596390,1428642427500,2537706656250,2249046993200,2745339068027,1273291948161,3611785000000,1222467850000,4004640000000,326505789696,994796705205,9655992928820,7315186639800,1799122585504,3435725717840,4999549759860
2016-02-15,2008708188075,1258268785218,1712861123204,1456002000000,1719209131368,9064000000000,4120182336984,987161374462,2452205482775,919287631702,945450000000,2912112000000,4344490433110,3568248019050,1633485439580,1902932022600,1473470817600,1601302118166,2342909591400,2962256353200,2431878710100,2212376004672,1139189326589,3239399646864,1830319020252,1083331909130,180070847079,1956007234600,363976886070,6214500000000,1599877542400,1827057016080,1677130197330,1780234427400,2199527253392,2249977206649,2269592039407,705882544085,791367962830,1106970661360,2176839673238,3089108362920,736074943120,205354206330,3368426423400,3766132717380,30784509600,3407313947175,1879407672660,2872110798000,1301215961474,5827500000000,20882512309952,5353676724865,1614413617260,2949055743591,1579021600000,1375826104620,1666466192960,4293384590616,506826000000,2231286750000,2189194032016,951001260480,822119230152,2325587537402,1180834136118,1360030617863,2751627990656,1437231448485,1214590928796,6869060331936,951726358265,1245212164152,4462759552500,4186888761320,1809326388462,1892168487495,1229027437946,931221193600,1810581124686,1605949831500,2820263248125,2480048954591,2951117838383,1384458024024,3981912500000,1362925725000,4423850000000,353714605504,1095014825030,10293296847700,7955618650200,1912267613249,3523766852320,5282905606000
2016-02-16,2014038093715,1269268878941,1649027789420,1329870000000,1652033947466,8870000000000,4097134845426,998943351650,2474675030811,915672540245,929362500000,2862720000000,4316043424090,3560471637938,1613119542010,1880544587040,1467774409800,1574005181460,2310555125614,2908066519360,2454659775300,2198481110016,1132701063173,3257287897926,1874033804744,1087698582270,178988256816,1930567834150,363261100650,6300000000000,1599877542400,1836151879545,1708719146280,1810734947310,2253460224424,2320062425760,2306094465774,718906207260,811447139496,1098635038910,2191803299570,3135186195060,756809448560,208547274650,3454157132010,3747567274407,30690223200,3358917526650,1878652435500,2940816193560,1362616351671,5827500000000,20862484325000,5341902440070,1613291522652,2970193122162,1580876000000,1396386395100,1714757494080,4312057279112,506160000000,2255370480000,2254046722672,985586284390,834157151696,2393855074228,1173067866945,1405677622508,2836697102184,1433506442571,1235953080810,7095761993056,962417301483,1292054001048,4577298058125,4306300918506,1856992506270,1937656982447,1258517450820,919690742500,1915074264096,1640692498500,2899045783125,2568781467657,2997696141132,1426591633077,3870442500000,1317785470000,4331150000000,353714605504,1090091829670,10127681684570,7878928262400,1904102508154,3480276653360,6123367861500
2016-02-17,1967734538468,1236623439505,1609373748736,1336725000000,1637469416443,8718000000000,4081178889732,961072710686,2402513213080,906484182793,935550000000,2817864000000,4186451494110,3441604098075,1548510487650,1790994844800,1424101950000,1530046478194,2196756659746,2885881419600,2483136106800,2187159344000,1084288636151,3245904465432,1811312592212,1069437949137,177905666553,1896648633550,370418954850,6268500000000,1572181088000,1788993328245,1681018067970,1849327441890,2224148827124,2276561255277,2322198477407,716301474625,809377121283,1105303536870,2151327916869,3132030179160,752921728790,201362870930,3401259460740,3758176098963,30643080000,3319788505800,1847687711940,3062458533240,1361604257327,5746500000000,20281672761392,5358205295940,1568688261984,2877814949148,1605910400000,1374112747080,1697689016960,4276045665584,505716000000,2211453090000,2266518393952,974115874450,809373195576,2324689280338,1205939052747,1368784837932,2761168451762,1402464726621,1221566325372,6928569517980,941267826855,1281514587746,4438720606875,4196839774419,1838455682678,1911281300500,1223627858124,905964015000,1817863979857,1585583440500,2785417126875,2546474411300,2964326610804,1396836259452,3769177500000,1257921355000,4186950000000,350313503528,1086575404413,10211537463370,8075363290800,1865609869849,3313741013440,6481164650270
2016-02-18,2024031666790,1258268785218,1637421728732,1360946000000,1665409537181,9086000000000,4154753574321,977623583404,2514860953260,947304590492,952875000000,2875824000000,4312882645310,3521589732375,1621546809970,1858157151480,1448786383800,1593148487721,2273180139275,2909521280000,2500221905700,2223183144960,1152914499198,3178416972789,1894465714887,1098813750264,181153437342,1916434833900,382587306990,6426000000000,1596619136000,1911268714830,1764121302900,1825673977470,2271633290750,2368397059630,2456398574344,734534603070,871684669494,1136978902180,2153780970366,3243121938840,776248047410,207749007570,3537455763780,3807683946891,31538800800,3480423433500,1901687168880,3175090329240,1414907892772,5859000000000,20628824500560,5494062428190,1636013938464,2927918365020,1667105600000,1410093255420,1740568361920,4434763517800,503274000000,2343205260000,2329708195104,1023647190100,844778847176,2439666184466,1257774384204,1431314981282,2998884940986,1481000267975,1212847079652,7126933471460,959395947965,1313132827651,4550431001250,4303813165231,1890093976970,1945302107649,1283438588460,935613746400,1857761360359,1623920176500,2865714710625,2598524209467,2994915346938,1441112255406,3789195000000,1254627860000,4198280000000,358816258468,1090091829670,10154934812680,8004054684600,1851612546829,3390114045760,6359897953405
