Date,RMT_Raw_S,RMT_Threshold_S,RMT_Ratio_S,RMT_Vel_S,RMT_Accel_S,RMT_Raw,RMT_Threshold,RMT_Ratio,RMT_Vel,RMT_Accel,RMT_Raw_L,RMT_Threshold_L,RMT_Ratio_L,RMT_Vel_L,RMT_Accel_L
2016-02-02,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-03,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-04,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-05,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-08,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-09,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-10,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-12,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-15,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-16,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-17,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-18,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-19,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-22,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-23,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-24,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-25,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-26,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-02-29,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-01,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-02,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-03,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-04,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-07,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-08,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-09,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-10,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-11,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-14,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-15,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-16,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-17,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-18,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-22,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-23,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-24,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-25,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-28,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-29,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-30,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-03-31,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-01,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-04,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-05,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-06,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-07,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-08,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-11,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-12,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-13,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-14,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-15,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-18,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-19,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-20,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-21,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-22,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-25,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-26,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
2016-04-27,,4.963454761751991,,,,,3.429951660386443,,,,,3.0949837929658877,,,
