,Return,Return,Return,MDD,MDD,MDD
Strategy,Buy & Hold,Model A (Tech),Model C (RMT),Buy & Hold,Model A (Tech),Model C (RMT)
Event,,,,,,
2020 Covid,-0.03280014917806995,-0.03280014917806995,-0.03280014917806995,-0.2726927069265613,-0.2726927069265613,-0.2726927069265613
2024 Ueda,1.0132823015559644,1.0272497710562027,1.0132823015559644,-0.2597692773506013,-0.2597692773506013,-0.2597692773506013
2025 Tariff,0.056249605378823286,0.08828398679926441,0.056249605378823286,-0.1878375281730882,-0.16320592380099488,-0.1878375281730882
