Date,Market_Price,RMT_Raw,Vel_NoSmooth,Accel_NoSmooth,Vel_Smooth,Accel_Smooth,Target
2016-05-13,2287.126530612244,63.69063774844594,-0.616726497770216,-0.05536184622455664,-0.26225384179625166,-0.14812477990687967,0
2016-05-16,2302.5224489795914,63.374878102478114,-0.31575964596782313,0.3009668518023929,-0.3184323894731733,-0.05617854767692165,0
2016-05-17,2331.2357142857145,63.17743709243315,-0.19744101004496173,0.1183186359228614,-0.3313192949211583,-0.012886905447984986,0
2016-05-18,2326.792857142857,63.1798869637152,0.00244987128204599,0.19989088132700772,-0.33776838680931576,-0.006449091888157454,0
2016-05-19,2326.511224489796,63.163308177161525,-0.016578786553672842,-0.019028657835718832,-0.2288112138109213,0.10895717299839447,0
2016-05-20,2334.382653061224,62.41228367226407,-0.7510245048974582,-0.7344457183437854,-0.25567081523638535,-0.026859601425464064,0
2016-05-23,2323.6459183673473,62.02745835285452,-0.38482531940955056,0.36619918548790764,-0.2694839499247266,-0.013813134688341222,0
2016-05-24,2301.166326530612,60.24092064279346,-1.7865377100610544,-1.4017123906515039,-0.5873032899279309,-0.31781934000320433,0
2016-05-25,2329.5908163265303,60.32405047839352,0.08312983560005449,1.869667545661109,-0.5711672970643349,0.016135992863596016,0
2016-05-26,2336.4255102040815,60.053262810886025,-0.2707876675074914,-0.3539175031075459,-0.6220090732550929,-0.050841776190758026,0
2016-05-27,2351.623469387755,59.56647588008601,-0.4867869308000152,-0.21599926329252384,-0.5691615584356242,0.0528475148194687,0
2016-05-30,2379.7714285714287,59.87959272985276,0.31311684976675025,0.7999037805667655,-0.4295731246003456,0.13958843383527864,0
2016-05-31,2405.476530612245,60.58669210567866,0.7070993758258979,0.39398252605914763,0.0691542925770392,0.4987274171773848,1
2016-06-01,2373.593877551021,61.99599580056324,1.409303694884585,0.7022043190586871,0.33438906443394245,0.26523477185690325,0
2016-06-02,2318.4306122448984,62.64267095681541,0.6466751562521651,-0.7626285386324199,0.5178816291858794,0.18349256475193698,0
2016-06-03,2328.45918367347,62.805357544855504,0.16268658804009561,-0.4839885682120695,0.647776332953903,0.1298947037680236,0
2016-06-06,2316.871428571429,63.186632964457495,0.38127541960199096,0.21858883156189535,0.6614080469209398,0.013631713967036774,0
2016-06-07,2325.7704081632646,63.73845301361976,0.5518200491622665,0.1705446295602755,0.630352181588222,-0.031055865332717758,0
2016-06-08,2344.920408163265,63.93636014507511,0.19790713145535221,-0.35391291770691424,0.3880728689023769,-0.24227931268584513,1
2016-06-09,2316.759183673469,61.643164877544,-2.293195267531111,-2.491102398986463,-0.19990121585427545,-0.5879740847566524,0
2016-06-10,2307.2142857142853,61.75413932235448,0.11097444481048058,2.4041697123415915,-0.21024364450020272,-0.01034242864592727,1
2016-06-13,2235.6448979591837,59.83438550115279,-1.9197538212016951,-2.0307282660121757,-0.670449492660957,-0.46020584816075427,0
2016-06-14,2213.7193877551013,55.15750381990318,-4.676881681249611,-2.757127860047916,-1.716189838743304,-1.0457403460823471,0
2016-06-15,2225.0683673469384,55.817129492859145,0.6596256729559684,5.33650735420558,-1.6238461304431908,0.09234370830011329,0
2016-06-16,2167.4204081632656,55.936632937279725,0.11950344442058025,-0.5401222285353882,-1.141306388052861,0.4825397423903297,0
2016-06-17,2187.1010204081626,56.42528371200716,0.48865077472743224,0.369147330306852,-1.0657711220694637,0.07553526598339744,0
2016-06-20,2232.807142857143,56.42282845643719,-0.0024552555699699496,-0.4911060302974022,-0.6823114089431215,0.3834597131263422,0
2016-06-21,2262.4479591836725,57.03396483651409,0.6111363800768999,0.6135916356468698,0.37529220332217506,1.0576036122652965,1
2016-06-22,2244.4479591836734,57.36290534740756,0.3289405108934744,-0.28219586918342543,0.30915517090969047,-0.06613703241248459,0
2016-06-23,2277.05918367347,57.46955965417231,0.10665430676474585,-0.22228620412872857,0.30658534337851506,-0.002569827531175406,1
2016-06-24,2097.5397959183674,57.36682484905118,-0.10273480512113053,-0.2093891118858764,0.18830822740881104,-0.11827711596970403,0
2016-06-27,2140.977551020408,63.08782432829691,5.720999479245734,5.823734284366864,1.3329991743719418,1.1446909469631308,0
2016-06-28,2140.8642857142863,62.063053092160274,-1.0247712361366368,-6.7457707153823705,1.0058176511292345,-0.32718152324270733,0
