Date,Close
2016-02-01,1462.67
2016-02-02,1452.04
2016-02-03,1406.27
2016-02-04,1388.81
2016-02-05,1368.97
2016-02-08,1380.41
2016-02-09,1304.33
2016-02-10,1264.96
2016-02-12,1196.28
2016-02-15,1292.23
2016-02-16,1297.01
2016-02-17,1282.4
2016-02-18,1311.2
2016-02-19,1291.82
2016-02-22,1300.0
2016-02-23,1291.17
2016-02-24,1284.53
2016-02-25,1307.54
2016-02-26,1311.27
2016-02-29,1297.85
2016-03-01,1300.83
2016-03-02,1349.61
2016-03-03,1369.05
2016-03-04,1375.35
2016-03-07,1361.9
2016-03-08,1347.72
2016-03-09,1332.33
2016-03-10,1352.17
2016-03-11,1359.32
2016-03-14,1379.95
2016-03-15,1372.08
2016-03-16,1360.5
2016-03-17,1358.97
2016-03-18,1345.05
2016-03-22,1369.93
2016-03-23,1364.2
2016-03-24,1354.61
2016-03-25,1366.05
2016-03-28,1381.85
2016-03-29,1377.6
2016-03-30,1356.29
2016-03-31,1347.2
2016-04-01,1301.4
2016-04-04,1302.71
2016-04-05,1268.37
2016-04-06,1267.75
2016-04-07,1272.64
2016-04-08,1287.69
2016-04-11,1279.79
2016-04-12,1299.35
2016-04-13,1332.44
2016-04-14,1371.35
2016-04-15,1361.4
2016-04-18,1320.15
2016-04-19,1363.03
2016-04-20,1365.78
2016-04-21,1393.68
2016-04-22,1407.5
2016-04-25,1401.83
2016-04-26,1391.69
2016-04-27,1384.3
2016-04-28,1340.55
2016-05-02,1299.96
2016-05-06,1298.32
2016-05-09,1306.66
2016-05-10,1334.9
2016-05-11,1334.3
2016-05-12,1337.27
2016-05-13,1320.19
2016-05-16,1321.65
2016-05-17,1335.85
2016-05-18,1338.38
2016-05-19,1336.56
2016-05-20,1343.4
2016-05-23,1338.68
2016-05-24,1326.5
2016-05-25,1342.88
2016-05-26,1342.87
2016-05-27,1349.93
2016-05-30,1366.01
2016-05-31,1379.8
2016-06-01,1362.07
2016-06-02,1331.81
2016-06-03,1337.23
2016-06-06,1332.43
2016-06-07,1340.77
2016-06-08,1350.97
2016-06-09,1337.41
2016-06-10,1330.72
2016-06-13,1284.54
2016-06-14,1271.93
2016-06-15,1277.11
2016-06-16,1241.56
2016-06-17,1250.83
2016-06-20,1279.19
2016-06-21,1293.9
2016-06-22,1284.61
2016-06-23,1298.71
2016-06-24,1204.48
2016-06-27,1225.76
2016-06-28,1224.62
2016-06-29,1247.69
2016-06-30,1245.82
2016-07-01,1254.44
2016-07-04,1261.97
2016-07-05,1256.64
2016-07-06,1234.2
2016-07-07,1226.09
2016-07-08,1209.88
2016-07-11,1255.79
2016-07-12,1285.73
2016-07-13,1300.26
2016-07-14,1311.16
2016-07-15,1317.1
2016-07-19,1331.39
2016-07-20,1330.75
2016-07-21,1339.39
2016-07-22,1327.51
2016-07-25,1325.36
2016-07-26,1306.94
2016-07-27,1321.67
2016-07-28,1307.0
2016-07-29,1322.74
2016-08-01,1321.83
2016-08-02,1300.2
2016-08-03,1271.98
2016-08-04,1282.99
2016-08-05,1279.9
2016-08-08,1305.53
2016-08-09,1317.49
2016-08-10,1314.83
2016-08-12,1323.22
2016-08-15,1316.63
2016-08-16,1298.47
2016-08-17,1311.13
2016-08-18,1290.79
2016-08-19,1295.67
2016-08-22,1303.68
2016-08-23,1297.56
2016-08-24,1306.71
2016-08-25,1304.27
2016-08-26,1287.9
2016-08-29,1313.24
2016-08-30,1312.81
2016-08-31,1329.54
2016-09-01,1337.38
2016-09-02,1340.76
2016-09-05,1343.85
2016-09-06,1352.58
2016-09-07,1349.53
2016-09-08,1345.95
2016-09-09,1343.86
2016-09-12,1323.1
2016-09-13,1322.99
2016-09-14,1314.74
2016-09-15,1301.11
2016-09-16,1311.5
2016-09-20,1316.97
2016-09-21,1352.67
2016-09-23,1349.56
2016-09-26,1335.84
2016-09-27,1349.22
2016-09-28,1330.77
2016-09-29,1343.25
2016-09-30,1322.78
2016-10-03,1330.72
2016-10-04,1340.21
2016-10-05,1347.81
2016-10-06,1353.93
2016-10-07,1350.61
2016-10-11,1356.35
2016-10-12,1342.35
2016-10-13,1342.31
2016-10-14,1347.19
2016-10-17,1352.56
2016-10-18,1356.57
2016-10-19,1357.2
2016-10-20,1370.8
2016-10-21,1365.29
2016-10-24,1367.61
2016-10-25,1377.32
2016-10-26,1382.7
2016-10-27,1382.01
2016-10-28,1392.41
2016-10-31,1393.02
2016-11-01,1393.19
2016-11-02,1368.44
2016-11-04,1347.04
2016-11-07,1362.8
2016-11-08,1363.49
2016-11-09,1301.16
2016-11-10,1376.35
2016-11-11,1378.28
2016-11-14,1400.0
2016-11-15,1402.98
2016-11-16,1421.65
2016-11-17,1423.08
2016-11-18,1428.46
2016-11-21,1442.93
2016-11-22,1447.5
2016-11-24,1459.96
2016-11-25,1464.53
2016-11-28,1469.58
2016-11-29,1468.57
2016-11-30,1469.43
2016-12-01,1483.27
2016-12-02,1477.98
2016-12-05,1466.96
2016-12-06,1477.2
2016-12-07,1490.62
2016-12-08,1512.69
2016-12-09,1525.36
2016-12-12,1531.43
2016-12-13,1540.25
2016-12-14,1538.69
2016-12-15,1542.72
2016-12-16,1550.67
2016-12-19,1549.06
2016-12-20,1552.36
2016-12-21,1544.94
2016-12-22,1543.82
2016-12-26,1538.14
2016-12-27,1536.22
2016-12-28,1536.8
2016-12-29,1518.39
2016-12-30,1518.61
2017-01-04,1554.48
2017-01-05,1555.68
2017-01-06,1553.32
2017-01-10,1542.31
2017-01-11,1550.4
2017-01-12,1535.41
2017-01-13,1544.89
2017-01-16,1530.64
2017-01-17,1509.1
2017-01-18,1513.86
2017-01-19,1528.15
2017-01-20,1533.46
2017-01-23,1514.63
2017-01-24,1506.33
2017-01-25,1521.58
2017-01-26,1545.01
2017-01-27,1549.25
2017-01-30,1543.77
2017-01-31,1521.67
2017-02-01,1527.77
2017-02-02,1510.41
2017-02-03,1514.99
2017-02-06,1520.42
2017-02-07,1516.15
2017-02-08,1524.15
2017-02-09,1513.55
2017-02-10,1546.56
2017-02-13,1554.2
2017-02-14,1539.12
2017-02-15,1553.69
2017-02-16,1551.07
2017-02-17,1544.54
2017-02-20,1547.01
2017-02-21,1555.6
2017-02-22,1557.09
2017-02-23,1556.25
2017-02-24,1550.14
2017-02-27,1534.0
2017-02-28,1535.32
2017-03-01,1553.09
2017-03-02,1564.69
2017-03-03,1558.05
2017-03-06,1554.9
2017-03-07,1555.04
2017-03-08,1550.25
2017-03-09,1554.68
2017-03-10,1574.01
2017-03-13,1577.4
2017-03-14,1574.9
2017-03-15,1571.31
2017-03-16,1572.69
2017-03-17,1565.85
2017-03-21,1563.42
2017-03-22,1530.2
2017-03-23,1530.41
2017-03-24,1543.92
2017-03-27,1524.39
2017-03-28,1544.83
2017-03-29,1542.07
2017-03-30,1527.59
2017-03-31,1512.6
2017-04-03,1517.03
2017-04-04,1504.54
2017-04-05,1504.66
2017-04-06,1480.18
2017-04-07,1489.77
2017-04-10,1499.65
2017-04-11,1495.1
2017-04-12,1479.54
2017-04-13,1468.31
2017-04-14,1459.07
2017-04-17,1465.69
2017-04-18,1471.53
2017-04-19,1471.42
2017-04-20,1472.81
2017-04-21,1488.58
2017-04-24,1503.19
2017-04-25,1519.21
2017-04-26,1537.41
2017-04-27,1536.67
2017-04-28,1531.8
2017-05-01,1539.77
2017-05-02,1550.3
2017-05-08,1585.86
2017-05-09,1581.77
2017-05-10,1585.19
2017-05-11,1586.86
2017-05-12,1580.71
2017-05-15,1580.0
2017-05-16,1584.23
2017-05-17,1575.82
2017-05-18,1555.01
2017-05-19,1559.73
2017-05-22,1567.65
2017-05-23,1565.22
2017-05-24,1575.11
2017-05-25,1578.42
2017-05-26,1569.42
2017-05-29,1570.21
2017-05-30,1572.67
2017-05-31,1568.37
2017-06-01,1586.14
2017-06-02,1612.2
2017-06-05,1609.97
2017-06-06,1596.44
2017-06-07,1597.09
2017-06-08,1590.41
2017-06-09,1591.66
2017-06-12,1591.55
2017-06-13,1593.51
2017-06-14,1591.77
2017-06-15,1588.09
2017-06-16,1596.04
2017-06-19,1606.07
2017-06-20,1617.25
2017-06-21,1611.56
2017-06-22,1610.38
2017-06-23,1611.34
2017-06-26,1612.21
2017-06-27,1619.02
2017-06-28,1614.37
2017-06-29,1624.07
2017-06-30,1611.9
2017-07-03,1614.41
2017-07-04,1609.7
2017-07-05,1618.63
2017-07-06,1615.53
2017-07-07,1607.06
