Date,Market_Price_A,Market_Price_B,RMT_Raw_S,RMT_Threshold_S,RMT_Ratio_S,RMT_Vel_S,RMT_Accel_S,RMT_Raw,RMT_Threshold,RMT_Ratio,RMT_Vel,RMT_Accel,RMT_Raw_L,RMT_Threshold_L,RMT_Ratio_L,RMT_Vel_L,RMT_Accel_L,Return,Vol_20,Momentum_10,RSI_14,E_pot,E_pot_Vel,E_pot_Accel,Target,Sample_Weight
2016-10-20,0.9270726614789332,0.935253619795295,36.23470879073315,4.963454761751991,7.300299998693469,-1.0005813943024364,0.0895293748856147,53.68503378501161,3.429951660386443,15.651833932540924,-0.0067238630546029,-0.0311172887169348,56.53290221731319,3.094983792965888,18.265976818941063,-0.2020008902942791,-0.3580940775841839,0.011086048854688002,0.010343923989025543,0.012923288306023739,61.597549350950835,2.1359649546920063,0.035658174862475384,0.016265911601950706,0.0,1.0
2016-10-21,0.922950234002187,0.9269455968232326,36.434295783243286,4.963454761751991,7.340511303538662,-0.971079292462484,0.0295021018399523,52.77374355630394,3.429951660386443,15.386147905757388,-0.1906917066509379,-0.183967843596335,56.45979159435692,3.094983792965888,18.24235452304328,-0.1817526942997815,0.0202481959944975,-0.004446714532785112,0.008275771762291542,0.00366660211828318,70.80719949069922,1.8263183512886,0.04906822193262285,0.013410047070147466,0.0,1.0
2016-10-24,0.9228792078958201,0.927729762266314,36.93395659370432,4.963454761751991,7.44117925246637,-0.8298125707250392,0.1412667217374448,52.8447213307429,3.429951660386443,15.406841426094337,-0.1605399126538103,0.0301517939971276,55.23657172677096,3.094983792965888,17.847127940478934,-0.4711007334460078,-0.2893480391462262,-7.695551043840343e-05,0.008158587628080185,0.0054611444459922165,68.4357256461032,1.776553850234007,-0.11345534599169534,-0.16252356792431819,0.0,1.0
2016-10-25,0.9296849041699006,0.9453347367439588,36.93502027268436,4.963454761751991,7.441393554606933,-0.2166357808486907,0.6131767898763485,52.32531467222255,3.429951660386443,15.255408779238364,-0.276418301936097,-0.1158783892822867,51.93899879396068,3.094983792965888,16.78167068661388,-1.1973453407137953,-0.7262446072677875,0.0073744171673317815,0.007897990873664556,0.007979565970824831,68.24164359708215,2.399703517873801,0.03833010266019691,0.15178544865189225,0.0,1.0
2016-10-26,0.9326029051329349,0.948628415454601,37.08496668614653,4.963454761751991,7.471603644284318,0.1065728645221213,0.323208645370812,52.402480269328166,3.429951660386443,15.277906354932163,-0.2384190089168569,0.0379992930192401,52.20224357957197,3.094983792965888,16.866725990040536,-1.1628980665630522,0.0344472741507431,0.0031386988752277745,0.00777735434375223,0.0224905591679736,65.63065871908668,2.004494885994852,0.022533272535559846,-0.015796830124637062,0.0,1.0
2016-10-27,0.9325659606302983,0.9433289958055127,37.05249011884232,4.963454761751991,7.465060506719235,0.1635562656218283,0.056983401099707,52.43013909290693,3.429951660386443,15.285970265540062,-0.2509789384209426,-0.0125599295040856,52.20082296654549,3.094983792965888,16.866266985043573,-0.8664158501535439,0.2964822164095082,-3.961439797495192e-05,0.006674095809030139,0.023961204044064655,62.67580595164096,1.6852435612926218,-0.08589616532548139,-0.10842943786104123,0.0,1.0
2016-10-28,0.9384507923411181,0.9534275443302737,36.51888213452432,4.963454761751991,7.35755313334093,0.0169172702562079,-0.1466389953656204,52.36017933289168,3.429951660386443,15.265573546594066,-0.0827128446824403,0.1682660937385023,51.8800080188915,3.094983792965888,16.762610562550147,-0.9159567150930812,-0.0495408649395372,0.006310365120813843,0.0064959374649220854,0.02608377595608702,68.57703487321218,2.0197868471458835,0.04012128784645399,0.12601745317193538,0.0,1.0
2016-10-31,0.9399457498284177,0.9517850553231997,36.65267671156361,4.963454761751991,7.384509070981442,-0.0562559764281331,-0.0731732466843411,52.30615438200711,3.429951660386443,15.249822610069648,-0.1077133897471611,-0.0250005450647208,51.77516775862768,3.094983792965888,16.728736310768245,-0.6922807936286475,0.2236759214644337,0.0015930057276314358,0.0051551153243201316,0.023343422457407392,66.80115636781925,1.9739694955577387,0.0420185699115492,0.001897282065095214,0.0,1.0
2016-11-01,0.9401884399115511,0.9526910669526256,35.67946764803473,4.963454761751991,7.188434137242073,-0.2511105249299348,-0.1948545485018016,52.19217236975163,3.429951660386443,15.216591234370716,-0.0266284604941802,0.0810849292529809,51.78067664047809,3.094983792965888,16.730516249604417,-0.0316644306965301,0.6606163629321173,0.0002581958407468221,0.0051302983280325405,0.02389371970180809,83.09986752317138,2.0341202889139938,-0.06843963408310055,-0.11045820399464976,0.0,1.0
2016-11-02,0.9230788162820069,0.9221225299522389,35.73078980991185,4.963454761751991,7.198774145228567,-0.2708353752469321,-0.0197248503169973,51.51119917422746,3.429951660386443,15.018053977012562,-0.1782562190201417,-0.1516277585259615,51.79278589804622,3.094983792965888,16.73442879273167,-0.0818915363051431,-0.0502271056086129,-0.018198079133108447,0.006676418880308464,0.006730272519470004,60.5957056717109,1.1247096907593543,-0.1739067652195975,-0.10546713113649694,0.0,1.0
