Date,Market_Price,RMT_Raw_S,RMT_Vel_S,RMT_Accel_S,RMT_Zscore_S,RMT_Raw_L,RMT_Vel_L,RMT_Accel_L,RMT_Zscore_L,Return,Vol_20,Momentum_10,RSI_14,Target
2018-01-17,1.1995583043810523,28.68750835489445,-0.0797057257436968,0.0004915981458175,-0.8552866328415343,31.841685750967574,-0.1840685333119971,-0.0055669246454463,-1.4838886783655043,-0.00133991891526275,0.008452238698117433,0.047712401049491815,73.79601342463724,0
2018-01-18,1.191947191035047,28.503989881505312,-0.0619877464793248,0.017717979264372,-0.8724564162503924,31.672432452463028,-0.047253771464323,0.136814761847674,-1.4959352912092747,-0.0063449298947853006,0.008180764926053087,0.04210817601556638,67.82839201484266,0
2018-01-19,1.1993665199290529,28.60114902730087,-0.0332545437851372,0.0287332026941875,-0.8528201230602053,31.705126991201737,-0.0407466536413849,0.0065071178229381,-1.4816015212859197,0.006224544971294543,0.0076915078897160215,0.01948907398798916,72.88385224944872,0
2018-01-22,1.2004247686797114,28.36624586497628,-0.0888207562146092,-0.055566212429472,-0.8766364270956355,31.54492931567468,-0.0809593967253192,-0.0402127430839343,-1.492836708056564,0.0008823397460862026,0.007669777052084646,0.010427318600568558,73.1462540569687,0
2018-01-23,1.2123773887969378,28.216852103923323,-0.1078913448094098,-0.0190705885948005,-0.8890890742001822,31.18090352705226,-0.1391860322994134,-0.0582266355740941,-1.530857119675074,0.009956992248979057,0.00785508006834902,0.01592336781825332,81.2709355480236,1
2018-01-24,1.2048860147826979,28.47880386676151,-0.0417408976265853,0.0661504471828244,-0.8476532063633077,31.29203860569324,-0.1099294290548655,0.0292566032445478,-1.50618249711508,-0.006179077639903663,0.008083628711390475,0.006692158244788526,76.75499041665998,1
2018-01-25,1.1938550107886265,28.493559636188134,-0.0020860490634397,0.0396548485631456,-0.8388035298221517,31.180772871351397,-0.0983319162223317,0.0115975128325338,-1.51092459005402,-0.009155226186321697,0.008459671558484866,-5.7112786248314507e-05,59.40766879014375,0
2018-01-26,1.1883603014725326,29.00937918240706,0.0816460310212399,0.0837320800846797,-0.7643139952209245,31.318008909593743,-0.077423616321596,0.0209082999007357,-1.4826985394906305,-0.004602492988209916,0.00857501283096986,0.0011076437457433475,50.18712006747384,0
2018-01-29,1.188485718768578,29.44183290883721,0.215117408772187,0.133471377750947,-0.7010263905843557,31.059187897773786,-0.0971482835801786,-0.0197246672585826,-1.5071939089415387,0.00010553810649005513,0.00850245357397339,-0.003271706857092771,46.991231414363085,1
2018-01-30,1.1743511334985006,29.439737264728173,0.2445770321609721,0.0294596233887851,-0.6951509950957214,31.04509170850111,-0.0271623637102322,0.0699859198699464,-1.4991309207585282,-0.011892936572029278,0.009018830398906877,-0.02232547270247509,37.74219248775563,1
2018-01-31,1.1598245595579195,30.161548989644164,0.3365490245765272,0.091971992415555,-0.5938116966199556,31.17429732204821,-0.0235482567290041,0.0036141069812281,-1.4722165502621216,-0.012369872626856626,0.009360371460557886,-0.033123646160437836,33.51997564530532,0
2018-02-01,1.1818437805352797,30.480376386574772,0.3973633500773275,0.0608143255008002,-0.5457891328913024,30.92242790647979,-0.0516689929743243,-0.0281207362453201,-1.4966404209086763,0.018984958367973315,0.010199787297324748,-0.008476391047990806,47.8069667962463,1
2018-02-02,1.1763274179263274,31.12658870964823,0.4234419054482394,0.0260785553709119,-0.4542238404555777,31.187014299318,-0.0261989220551441,0.0254700709191801,-1.4514494543789422,-0.004667590336223437,0.008079563311826991,-0.01920939230827312,43.239322144114546,0
2018-02-05,1.1527566843701993,30.925419773301527,0.2967173728928607,-0.1267245325553787,-0.4751943184077419,31.09276031616178,0.006714483677598,0.0329134057327422,-1.4546707279978208,-0.020037561989058705,0.008889673255648418,-0.03970934751866195,31.87675496523734,0
2018-02-06,1.1073026283705478,32.232877757555016,0.558628098565368,0.2619107256725073,-0.2946270241666391,31.454624884702405,0.0819066352402586,0.0751921515626605,-1.3957969156169368,-0.039430745981303916,0.012162528706343899,-0.08666836036150216,23.998620388734963,0
2018-02-07,1.1120034875041185,37.05979776516637,1.3796497551044418,0.8210216565390738,0.3584381359614195,34.09058492982814,0.5832575215559892,0.5013508863157305,-1.0296911032350031,0.004245324641275472,0.012203436844957862,-0.07708822754933442,27.0928506473942,0
2018-02-08,1.1220111779828272,36.71271382269266,1.246467487223576,-0.1331822678808656,0.3168693518298497,33.93353821728232,0.6022220621605037,0.0189645406045144,-1.0440000190675776,0.008999693428274114,0.012524567014470632,-0.060178021750179944,28.15850674808044,0
2018-02-09,1.1004844324197156,36.36170185320272,1.0470226287108986,-0.1994448585126775,0.27460504160104,34.10119345599744,0.5828358313358848,-0.0193862308246188,-1.0138807097033145,-0.019185856598873507,0.013028480794829113,-0.07394715974938526,24.705302804216345,0
2018-02-13,1.0888960261060836,36.88390264410803,1.1916965741613057,0.1446739454504069,0.3500376777223473,34.56669181524235,0.6947862998161156,0.1119504684802308,-0.9429982349028148,-0.010530277368987151,0.012964105888516219,-0.0837954475091901,18.68939122335189,0
2018-02-14,1.0795658853199221,37.03529571996543,0.9604835924820848,-0.2312129816792207,0.3751785645338766,34.71503933348477,0.6520828897564712,-0.0427034100596444,-0.9159215373505978,-0.008568440477761952,0.012686567680280305,-0.08071286813187162,18.516723610420087,0
2018-02-15,1.0922652907993982,37.12358641215832,0.0127577293983875,-0.9477258630836972,0.3919610435053449,34.72051224647477,0.1259854633293287,-0.5260974264271425,-0.9088788509781126,0.011763437185413395,0.013225753634641502,-0.058249558695560255,24.690508680624106,0
2018-02-16,1.1015133738339433,36.68008551325215,-0.0065256618881122,-0.0192833912864998,0.336212856176843,34.66208107400861,0.1457085713452528,0.0197231080159241,-0.910885620431164,0.008466883560656502,0.013533441605873577,-0.0679704103235651,28.76066077627752,0
2018-02-19,1.1238106377817758,36.79709199454688,0.0870780282688414,0.0936036901569536,0.357798398817067,34.05477182125699,-0.0092843269480837,-0.1549928982933366,-0.9899222987624248,0.02024239058507682,0.014416794147170764,-0.04464469614856903,35.73050818183121,0
2018-02-20,1.113386883982813,37.66115112220782,0.15544969561995,0.0683716673511085,0.4819960596579473,34.54420285680112,-0.0044977916882515,0.0047865352598321,-0.9148458699601832,-0.009275364948971965,0.014446205861958779,-0.034152740921988944,36.3253236374723,0
