Target,Short,Long,Events,Days,Avg_Weight,Sum_Weight,Caught,_s_days,_s_drop,_l_days,_l_drop
Index 2 (Phy),5d -3.0%,7d -3.0%,129,461,13.86,6389.79,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,7,-0.03
Index 2 (Phy),3d -1.0%,7d -4.0%,140,378,13.71,5181.13,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,7,-0.04
Index 2 (Phy),5d -1.0%,10d -3.0%,137,497,13.48,6700.64,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,10,-0.03
Index 2 (Phy),5d -3.0%,10d -4.0%,106,355,13.46,4779.4,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,10,-0.04
Index 2 (Phy),3d -3.0%,10d -6.0%,83,200,13.4,2679.72,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,10,-0.06
Index 2 (Phy),3d -3.0%,7d -6.0%,87,208,13.08,2719.99,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,7,-0.06
Index 2 (Phy),5d -1.0%,7d -2.5%,154,594,13.07,7766.47,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.025
Index 2 (Phy),5d -2.0%,7d -3.0%,138,515,12.54,6457.82,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,7,-0.03
Index 2 (Phy),3d -2.0%,10d -6.0%,95,240,12.35,2964.24,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,10,-0.06
Index 2 (Phy),5d -2.0%,10d -4.0%,114,402,12.11,4866.85,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,10,-0.04
Index 2 (Phy),3d -2.0%,7d -6.0%,92,239,12.07,2883.66,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,7,-0.06
Index 2 (Phy),5d -1.0%,7d -3.0%,142,548,11.65,6386.9,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.03
Index 2 (Phy),3d -3.0%,7d -8.0%,70,156,11.6,1809.55,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,7,-0.08
Index 2 (Phy),3d -1.0%,10d -6.0%,102,283,11.48,3247.88,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,10,-0.06
Index 2 (Phy),3d -3.0%,10d -8.0%,67,158,11.43,1805.45,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,10,-0.08
Index 2 (Phy),5d -3.0%,7d -4.0%,123,412,11.39,4691.47,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,7,-0.04
Index 2 (Phy),5d -1.0%,10d -4.0%,118,439,11.17,4905.61,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,10,-0.04
Index 2 (Phy),3d -1.0%,7d -6.0%,100,276,11.0,3036.85,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,7,-0.06
