,RMT_Raw,RMT_Vel,RMT_Accel,RMT_Zscore
2016-06-16,62.67581570960573,,,
2016-06-17,63.01646802910238,,,
2016-06-20,63.06557859989452,,,
2016-06-21,63.119201280934575,,,
2016-06-22,63.15129825160252,,,
2016-06-23,62.75037025850552,0.014910909779949577,,
2016-06-24,62.363784247491346,-0.13053675632220063,-0.1454476661021502,
2016-06-27,64.65705047992533,0.3182943760061647,0.44883113232836536,
2016-06-28,64.07840344520314,0.19184043285370933,-0.1264539431524554,
2016-06-29,64.02486212011499,0.17471277370249538,-0.017127659151213948,
2016-06-30,64.26841097916707,0.30360814413230486,0.12889537042980947,
2016-07-01,63.721110966090855,0.2714653437199033,-0.032142800412401584,
2016-07-04,63.42537615648973,-0.24633486468712107,-0.5178002084070243,
2016-07-05,62.03085949124415,-0.40950879079179714,-0.16317392610467607,
2016-07-06,62.010884306516665,-0.40279556271966044,0.006713228072136701,
2016-07-07,61.925180173075354,-0.468646161218345,-0.06585059849868458,
2016-07-08,61.48333986819947,-0.44755421957827934,0.02109194164006567,
2016-07-11,61.63100679186117,-0.35887387292570594,0.0886803466525734,
2016-07-12,62.79047900518853,0.15192390278887302,0.510797775714579,
2016-07-13,63.99891801707338,0.39760674211134983,0.2456828393224768,
2016-07-14,64.2764912910829,0.4702622236015017,0.07265548149015189,
2016-07-15,64.14229461387674,0.5317909491354484,0.061528725533946727,
2016-07-19,64.05118140814992,0.48403492325776654,-0.04775602587768191,
2016-07-20,64.35275190443849,0.3124545798499838,-0.17158034340778272,
2016-07-21,64.41233134676943,0.0826826659392026,-0.22977191391078122,
2016-07-22,62.728317452329755,-0.30963476775062304,-0.39231743368982563,
2016-07-25,62.79290443607409,-0.2698780355605379,0.03975673219008513,
2016-07-26,61.44647626655371,-0.5209410283192355,-0.2510629927586976,
2016-07-27,57.833614625510954,-1.3038274557855019,-0.7828864274662664,
2016-07-28,57.87280976637781,-1.3079043160783286,-0.004076860292826723,
2016-07-29,57.7126854768799,-1.0031263950899785,0.3047779209883501,
2016-08-01,56.88220494190571,-1.1821398988336682,-0.17901350374368974,
2016-08-02,56.37996834691416,-1.0133015839279054,0.16883831490576284,
2016-08-03,56.521087989789656,-0.2625053271442681,0.7507962567836373,
2016-08-04,56.776131897113004,-0.219335573852959,0.04316975329130912,
2016-08-05,56.520607690373765,-0.23841555730123076,-0.019079983448271776,
2016-08-08,56.21114970915634,-0.13421104654986493,0.10420451075136583,
2016-08-09,56.42965583110553,0.009937496838269055,0.144148543388134,
2016-08-10,56.40108893782286,-0.023999810393355858,-0.033937307231624914,
2016-08-12,56.41673287096727,-0.07187980522915183,-0.04787999483579597,
2016-08-15,55.302997114399986,-0.2435221151947502,-0.17164230996559837,
2016-08-16,55.31754237058381,-0.17872146771450304,0.06480064748024716,
2016-08-17,55.5484010774046,-0.17625095074019015,0.0024705169743128863,
2016-08-18,55.479418553531744,-0.184334076858228,-0.008083126118037853,
2016-08-19,55.609550412303015,-0.16143649173285013,0.022897585125377873,
2016-08-22,55.428820529776566,0.025164683075317384,0.1866011748081675,
2016-08-23,55.352003274739076,0.0068921808310520305,-0.018272502244265354,
2016-08-24,55.236535374108385,-0.06237314065924693,-0.06926532149029896,
2016-08-25,55.134902650119024,-0.06890318068253976,-0.006530040023292827,
2016-08-26,55.07614773527946,-0.10668053540471334,-0.037777354722173584,
2016-08-29,55.148874160775264,-0.055989273800250317,0.05069126160446302,
2016-08-30,55.40148613695206,0.009896572442585239,0.06588584624283556,
2016-08-31,55.41883935310973,0.03646079580026651,0.02656422335768127,
2016-09-01,55.279792089981896,0.028977887972580163,-0.007482907827686347,
2016-09-02,55.27647720853409,0.04006589465092247,0.01108800667834231,
2016-09-05,55.40226096949567,0.05067736174408566,0.010611467093163185,
2016-09-06,55.309534919852716,-0.018390243419865726,-0.06906760516395138,
2016-09-07,55.220807160453006,-0.03960643853134371,-0.021216195111477987,
2016-09-08,55.20205559371443,-0.015547299253505287,0.024059139277838426,
