Date,Close,target,code,NetSales,OperatingProfit,Profit,TotalAssets,Equity,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,ROE,SelfCapitalRatio
2023-09-25,614.3,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-26,607.4,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-27,603.9,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-28,609.9,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-29,613.1,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-02,579.5,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-03,565.9,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-04,560.3,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-05,578.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-06,576.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-10,585.4,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-11,587.9,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-12,601.7,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-13,575.7,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-16,566.2,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-17,571.4,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-18,576.4,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-19,571.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-20,575.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-23,565.3,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-24,569.6,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-25,570.9,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-26,555.5,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-27,561.5,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-30,545.8,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-10-31,556.8,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-01,551.1,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-02,554.4,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-06,568.8,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-07,563.1,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-08,548.6,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-11-09,550.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-10,554.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-13,552.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-14,540.4,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-15,562.1,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-16,554.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-17,553.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-20,562.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-21,584.4,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-22,576.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-24,577.9,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-27,579.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-28,589.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-29,602.8,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-11-30,585.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-01,560.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-04,565.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-05,567.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-06,585.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-07,583.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-08,579.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-11,589.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-12,579.4,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-13,577.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-14,574.1,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-15,590.8,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
