DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2024-02-06,15:00:00,4689,20240206527205,3QFinancialStatements_Consolidated_IFRS,3Q,2023-04-01,2023-12-31,2023-04-01,2024-03-31,,,1346840000000,174280000000,,122448000000,16.33,16.27,8983716000000,3428124000000,0.337,,293405000000,-358132000000,-67500000000,1525728000000,,0.0,,,,,,,,,,5.56,5.56,,,,,,,,,,,,,,,,,,,,,1820000000000,,,,,,,,,,false,,false,false,false,,7636212411,136075894,7498201245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08,15:00:00,4689,20240507582158,FYFinancialStatements_Consolidated_IFRS,FY,2023-04-01,2024-03-31,2023-04-01,2024-03-31,2024-04-01,2025-03-31,1814663000000,208191000000,,113199000000,15.1,15.04,9043969000000,3446985000000,0.336,404.89,316477000000,-444060000000,-81490000000,1420430000000,,0.0,,5.56,5.56,,41888000000,0.368,,,,,,,,,,0.0,,5.56,5.56,,,,,,,,,,,,,,,,,,1935000000000,,,,,false,,true,false,false,,7637068986,136099378,7498805722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,15:00:00,4689,20240801560900,1QFinancialStatements_Consolidated_IFRS,1Q,2024-04-01,2024-06-30,2024-04-01,2025-03-31,,,463085000000,106802000000,,51527000000,6.87,6.85,8968078000000,3463946000000,0.343,,87343000000,-176817000000,-106486000000,1262738000000,,,,,,,,,,0.0,,5.56,5.56,,,,,,,,,,,,,,,,,,,,,1935000000000,,,,,,,,,,,true,false,false,false,,7637392111,135887163,7501140812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05,15:30:00,4689,20241101510000,2QFinancialStatements_Consolidated_IFRS,2Q,2024-04-01,2024-09-30,2024-04-01,2025-03-31,,,925293000000,172659000000,,87254000000,11.64,11.6,8884696000000,3327206000000,0.33,,266894000000,-258926000000,-254934000000,1201696000000,,0.0,,,,,,,,,,5.56,5.56,,,,,,,,,,,,,,,,,,,,,1935000000000,,,,,,,,,,,true,false,false,false,,7149601322,32383697,7493489719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06,15:30:00,4689,20250205563520,3QFinancialStatements_Consolidated_IFRS,3Q,2024-04-01,2024-12-31,2024-04-01,2025-03-31,,,1428759000000,254765000000,,127677000000,17.33,17.25,9451486000000,3407671000000,0.317,,550808000000,-399325000000,-278547000000,1328203000000,,0.0,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,1935000000000,,,,,,,,,,,true,false,false,false,,7152008897,30850212,7368155805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,15:30:00,4689,20250502530042,FYFinancialStatements_Consolidated_IFRS,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,1917478000000,315033000000,,153465000000,21.0,20.92,9158346000000,3418915000000,0.327,420.77,519590000000,-505633000000,-416797000000,1043944000000,,0.0,,7.0,7.0,,50075000000,0.333,,,,,,,,,,0.0,,7.0,7.0,,,,,,,,,,,,,,,,,,2100000000000,,,,,,true,false,false,false,,7154182647,28775073,7307937444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,15:30:00,4689,20250502530057,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917478000000,315033000000,,153465000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763188000000,,,38277000000,,,,,,
2023-08-01,15:00:00,4385,20230731530221,EarnForecastRevision,FY,2022-07-01,2023-06-30,2022-07-01,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172000000000,17000000000,17400000000,13000000000,80.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101600000000,27200000000,27100000000,7200000000,44.63,,,,,
2023-08-10,15:00:00,4385,20230807535689,FYFinancialStatements_Consolidated_JP,FY,2022-07-01,2023-06-30,2022-07-01,2023-06-30,2023-07-01,2024-06-30,172064000000,17023000000,17449000000,13070000000,81.01,77.36,415292000000,55228000000,0.129,329.8,-36883000000,-632000000,26839000000,202047000000,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,162465598,103,161334419,101671000000,27259000000,27196000000,7274000000,45.09,160680000000,55596000000,0.339,335.48,,,,,,,,,,,,,,,,,,,,
2023-11-13,15:00:00,4385,20231110586460,1QFinancialStatements_Consolidated_IFRS,1Q,2023-07-01,2023-09-30,2023-07-01,2024-06-30,,,44271000000,4477000000,,2811000000,17.27,16.54,430399000000,59803000000,0.138,,-12531000000,-860000000,4394000000,193563000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,162989723,138,162737420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-13,15:00:00,4385,20240212533128,2QFinancialStatements_Consolidated_IFRS,2Q,2023-07-01,2023-12-31,2023-07-01,2024-06-30,,,92386000000,7821000000,,4550000000,27.94,26.74,456578000000,61915000000,0.135,,-29579000000,-270000000,13683000000,185173000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,163167809,191,162899642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
