Date,target,MAdivergence60,code,ROE,SelfCapitalRatio
2023-08-01,1,,,,
2023-08-02,0,,,,
2023-08-03,1,,,,
2023-08-04,0,,,,
2023-08-07,0,,,,
2023-08-08,1,,,,
2023-08-09,0,,,,
2023-08-10,0,,4755,-0.11941117160029822,0.05415247387717576
2023-08-14,0,,4755,-0.11941117160029822,0.05415247387717576
2023-08-15,0,,4755,-0.11941117160029822,0.05415247387717576
2023-08-16,0,,4755,-0.11941117160029822,0.05415247387717576
2023-08-17,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-18,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-21,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-22,0,,4755,-0.11941117160029822,0.05415247387717576
2023-08-23,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-24,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-25,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-28,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-29,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-30,1,,4755,-0.11941117160029822,0.05415247387717576
2023-08-31,1,,4755,-0.11941117160029822,0.05415247387717576
2023-09-01,1,,4755,-0.11941117160029822,0.05415247387717576
2023-09-04,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-05,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-06,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-07,1,,4755,-0.11941117160029822,0.05415247387717576
2023-09-08,1,,4755,-0.11941117160029822,0.05415247387717576
2023-09-11,1,,4755,-0.11941117160029822,0.05415247387717576
2023-09-12,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-13,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-14,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-15,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-19,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-20,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-21,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-22,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-25,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-26,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-27,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-28,0,,4755,-0.11941117160029822,0.05415247387717576
2023-09-29,0,,4755,-0.11941117160029822,0.05415247387717576
2023-10-02,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-03,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-04,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-05,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-06,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-10,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-11,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-12,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-13,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-16,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-17,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-18,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-19,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-20,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-23,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-24,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-25,1,,4755,-0.11941117160029822,0.05415247387717576
2023-10-26,1,-0.03598915957806812,4755,-0.11941117160029822,0.05415247387717576
2023-10-27,1,-0.0256190746128797,4755,-0.11941117160029822,0.05415247387717576
2023-10-30,1,-0.05236748973455983,4755,-0.11941117160029822,0.05415247387717576
2023-10-31,1,-0.033654889142791196,4755,-0.11941117160029822,0.05415247387717576
2023-11-01,1,-0.0432845321451304,4755,-0.11941117160029822,0.05415247387717576
2023-11-02,1,-0.037282720058346736,4755,-0.11941117160029822,0.05415247387717576
2023-11-06,1,-0.012565714665980002,4755,-0.11941117160029822,0.05415247387717576
2023-11-07,1,-0.0223930046093883,4755,-0.11941117160029822,0.05415247387717576
2023-11-08,1,-0.04721656168951473,4755,-0.11941117160029822,0.05415247387717576
2023-11-09,1,-0.04289530255007727,4755,-0.18427345531182843,0.05227038334146682
2023-11-10,1,-0.03642677829119381,4755,-0.18427345531182843,0.05227038334146682
2023-11-13,1,-0.0388183990164924,4755,-0.18427345531182843,0.05227038334146682
2023-11-14,1,-0.06000226128249526,4755,-0.18427345531182843,0.05227038334146682
2023-11-15,1,-0.023023800143681494,4755,-0.18427345531182843,0.05227038334146682
2023-11-16,1,-0.03666576906037998,4755,-0.18427345531182843,0.05227038334146682
2023-11-17,1,-0.039255031749754456,4755,-0.18427345531182843,0.05227038334146682
2023-11-20,1,-0.023944053353093683,4755,-0.18427345531182843,0.05227038334146682
2023-11-21,1,0.013899772433515381,4755,-0.18427345531182843,0.05227038334146682
2023-11-22,1,-0.0016090964504546753,4755,-0.18427345531182843,0.05227038334146682
2023-11-24,1,0.0009121769854282193,4755,-0.18427345531182843,0.05227038334146682
2023-11-27,1,0.0028105936874183203,4755,-0.18427345531182843,0.05227038334146682
2023-11-28,1,0.02041581468588959,4755,-0.18427345531182843,0.05227038334146682
2023-11-29,1,0.04204721596376679,4755,-0.18427345531182843,0.05227038334146682
2023-11-30,1,0.012107736970646701,4755,-0.18427345531182843,0.05227038334146682
