Feature,2020 Covid,2024 Ueda,2025 Tariff,Average
RMT_Raw_L,5001.562236151167,29608.3146253307,21013.380020648387,18541.085627376753
Momentum_10,10125.740241755628,13913.71683875444,16197.54483053703,13412.333970349033
Vol_20,2511.1755369089096,8481.2213730851,14678.482422887666,8556.959777627226
RSI_14,3211.945275062437,6857.300536435038,13955.421179800875,8008.222330432783
Return,2562.957841995278,5509.902565963727,6394.5430349466515,4822.4678143018855
RMT_Vel_L,4153.557135354312,3581.9100209602943,2482.895689798473,3406.1209487043598
RMT_Accel_L,2274.237997868125,3034.728130038451,3400.1989976889654,2903.0550418651806
