Window_Size,Average_Recall,2020 Covid,2024 Ueda,2025 Tariff
10,0.3282937606473419,0.11441757742849344,0.4036816456726004,0.4667820588409318
15,0.2916482639019171,0.04912206738114667,0.4404321312707341,0.38539059305387063
20,0.060790385693808215,0.0,0.18237115708142465,0.0
25,0.05542586550728313,0.0,0.14750558881159936,0.018772007710250043
30,0.1909541930938691,0.20899178743381824,0.20086315315528372,0.16300763869250537
35,0.18379589468795157,0.09457421000532482,0.31257784307627456,0.1442356309822553
40,0.12839654986624713,0.0,0.38518964959874136,0.0
45,0.2485374980582625,0.20899178743381824,0.3923850757587139,0.1442356309822553
50,0.19583655452271853,0.11441757742849344,0.410472628062851,0.06261945807681116
55,0.19731778220110643,0.11441757742849344,0.47753576917482593,0.0
60,0.19886084719056465,0.20899178743381824,0.38759075413787575,0.0
65,0.09353846702770167,0.11441757742849344,0.16619782365461158,0.0
70,0.3161497458679176,0.2581138548149649,0.30494478973491723,0.38539059305387063
75,0.1072299138019635,0.0,0.24029827561882933,0.08139146578706119
80,0.11713609433364834,0.0,0.351408283000945,0.0
85,0.09037384372845059,0.0,0.27112153118535176,0.0
90,0.07627574926497292,0.0,0.21005524008466875,0.018772007710250043
95,0.053228950966917314,0.0,0.1409148451905019,0.018772007710250043
100,0.03943514451402943,0.0,0.11830543354208828,0.0
105,0.16796131198669403,0.0,0.5038839359600821,0.0
110,0.10031561792845238,0.0,0.21955538799829596,0.08139146578706119
115,0.08163937977654781,0.0,0.2261461316193934,0.018772007710250043
120,0.3522091740576762,0.0,0.20086315315528372,0.8557643690177448
125,0.3138667793285038,0.0,0.08583596896776667,0.8557643690177448
130,0.23039489654476972,0.0,0.22081091367043493,0.4703737759638742
135,0.3606368335457127,0.0,0.2261461316193934,0.8557643690177448
140,0.2664195036706105,0.0,0.24269938015796375,0.5565591308538678
145,0.21578571067323282,0.0,0.19934708088901676,0.44801005113068176
150,0.11755132698559982,0.0,0.26287690894386356,0.08977707201293592
155,0.05545082968470282,0.0,0.16635248905410846,0.0
160,0.24579192093969313,0.0,0.35198516976520877,0.38539059305387063
165,0.0681598603178698,0.0,0.2044795809536094,0.0
170,0.01778585478122812,0.0,0.05335756434368436,0.0
175,0.003967084150920537,0.0,0.011901252452761612,0.0
180,0.008427659488036558,0.0,0.025282978464109675,0.0
185,0.026632022826644338,0.0,0.07989606847993301,0.0
190,0.15767240430108445,0.0,0.08762661984938272,0.38539059305387063
195,0.2046440193645851,0.0,0.22854146503988462,0.38539059305387063
200,0.0,0.0,0.0,0.0
205,0.03878663297804747,0.0,0.11635989893414242,0.0
210,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
220,0.10027797207278087,0.0,0.3008339162183426,0.0
225,0.01643419372805305,0.0,0.04930258118415915,0.0
230,0.04807854366075177,0.0,0.0,0.1442356309822553
235,0.059211669171749914,0.05932957397316146,0.11830543354208828,0.0
240,0.005185960888011661,0.0,0.015557882664034982,0.0
245,0.09712938231467196,0.07511732411715727,0.2162708228268586,0.0
250,0.06652508291775293,0.0,0.19957524875325877,0.0
255,0.13050913062274597,0.03656708586331227,0.3549603060049257,0.0
260,0.07517579920925768,0.05932957397316146,0.16619782365461158,0.0
265,0.07870801825031777,0.03656708586331227,0.19955696888764105,0.0
270,0.03927287373628834,0.03656708586331227,0.08125153534555277,0.0
275,0.10187226209322386,0.03855023825384499,0.2670665480258266,0.0
280,0.11100416935198139,0.0,0.3330125080559442,0.0
285,0.06651898962921368,0.0,0.19955696888764105,0.0
290,0.14426826451020885,0.0,0.43280479353062656,0.0
295,0.15086347522778618,0.0,0.3083547947011032,0.1442356309822553
300,0.0991997070384457,0.0,0.2975991211153371,0.0
