Window_Size,2020 Covid_Std,2020 Covid_Wgt,2024 Ueda_Std,2024 Ueda_Wgt,2025 Tariff_Std,2025 Tariff_Wgt,Average_Std,Average_Wgt
5,0.0,0.0,0.14285714285714285,0.3428408024167795,0.5714285714285714,0.7269113491099243,0.23809523809523805,0.3565840505089013
6,0.0,0.0,0.14285714285714285,0.3428408024167795,0.14285714285714285,0.2460822588655854,0.09523809523809523,0.19630768709412164
7,0.0,0.0,0.0,0.0,0.14285714285714285,0.02019966188034749,0.047619047619047616,0.006733220626782496
8,0.0,0.0,0.14285714285714285,0.3428408024167795,0.14285714285714285,0.2460822588655854,0.09523809523809523,0.19630768709412164
9,0.07142857142857142,0.037712096415447656,0.07142857142857142,0.21340445658105575,0.0,0.0,0.047619047619047616,0.08370551766550115
10,0.0,0.0,0.14285714285714285,0.3428408024167795,0.14285714285714285,0.2460822588655854,0.09523809523809523,0.19630768709412164
11,0.0,0.0,0.07142857142857142,0.21340445658105575,0.2857142857142857,0.33661086273926316,0.11904761904761903,0.18333843977343964
12,0.07142857142857142,0.037712096415447656,0.07142857142857142,0.1294363458357238,0.14285714285714285,0.2460822588655854,0.09523809523809523,0.13774356703891896
13,0.0,0.0,0.07142857142857142,0.04761697057331961,0.0,0.0,0.023809523809523808,0.01587232352443987
14,0.0,0.0,0.0,0.0,0.5714285714285714,0.4704467293896169,0.19047619047619047,0.15681557646320562
15,0.0,0.0,0.0,0.0,0.2857142857142857,0.14543697770404324,0.09523809523809523,0.04847899256801441
16,0.0,0.0,0.0,0.0,0.2857142857142857,0.07510803571071295,0.09523809523809523,0.025036011903570982
17,0.14285714285714285,0.06058563913345557,0.07142857142857142,0.07058582064970705,0.14285714285714285,0.02019966188034749,0.11904761904761903,0.05045704055450337
18,0.0,0.0,0.07142857142857142,0.06141799569445924,0.14285714285714285,0.05490837383036545,0.07142857142857142,0.0387754565082749
19,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.14285714285714285,0.0986698931412473,0.0,0.0,0.047619047619047616,0.03288996438041577
22,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
26,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
27,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
28,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
29,0.07142857142857142,0.02287354271800791,0.0,0.0,0.0,0.0,0.023809523809523808,0.00762451423933597
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.07142857142857142,0.06141799569445924,0.0,0.0,0.023809523809523808,0.020472665231486414
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
34,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.14285714285714285,0.02019966188034749,0.047619047619047616,0.006733220626782496
48,0.0,0.0,0.0,0.0,0.14285714285714285,0.02019966188034749,0.047619047619047616,0.006733220626782496
49,0.0,0.0,0.07142857142857142,0.07058582064970705,0.14285714285714285,0.02019966188034749,0.07142857142857142,0.030261827510018175
50,0.0,0.0,0.14285714285714285,0.1133982850147315,0.14285714285714285,0.02019966188034749,0.09523809523809523,0.044532648965026324
51,0.0,0.0,0.21428571428571427,0.13936535726997337,0.14285714285714285,0.02019966188034749,0.11904761904761903,0.05318833971677362
52,0.0,0.0,0.07142857142857142,0.07058582064970705,0.14285714285714285,0.02019966188034749,0.07142857142857142,0.030261827510018175
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.14285714285714285,0.02019966188034749,0.047619047619047616,0.006733220626782496
56,0.0,0.0,0.0,0.0,0.14285714285714285,0.02019966188034749,0.047619047619047616,0.006733220626782496
57,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
58,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
59,0.14285714285714285,0.09988883193829026,0.0,0.0,0.0,0.0,0.047619047619047616,0.03329627731276342
60,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
61,0.07142857142857142,0.037712096415447656,0.07142857142857142,0.1294363458357238,0.0,0.0,0.047619047619047616,0.05571614741705715
62,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
63,0.07142857142857142,0.10251210639920687,0.14285714285714285,0.3428408024167795,0.0,0.0,0.07142857142857142,0.1484509696053288
64,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
67,0.21428571428571427,0.2736579892789161,0.07142857142857142,0.1294363458357238,0.0,0.0,0.09523809523809523,0.13436477837154662
68,0.14285714285714285,0.09988883193829026,0.07142857142857142,0.1294363458357238,0.0,0.0,0.07142857142857142,0.07644172592467136
69,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
70,0.21428571428571427,0.16598196077297372,0.07142857142857142,0.1294363458357238,0.0,0.0,0.09523809523809523,0.09847276886956584
71,0.2857142857142857,0.31528647900620455,0.07142857142857142,0.1294363458357238,0.0,0.0,0.11904761904761903,0.14824094161397613
72,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
73,0.14285714285714285,0.09988883193829026,0.0,0.0,0.0,0.0,0.047619047619047616,0.03329627731276342
74,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
75,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
76,0.07142857142857142,0.06217673552284261,0.07142857142857142,0.1294363458357238,0.0,0.0,0.047619047619047616,0.06387102711952214
77,0.14285714285714285,0.23510701915933052,0.0,0.0,0.0,0.0,0.047619047619047616,0.07836900638644351
78,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
79,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
80,0.07142857142857142,0.06217673552284261,0.07142857142857142,0.1294363458357238,0.0,0.0,0.047619047619047616,0.06387102711952214
81,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
82,0.07142857142857142,0.037712096415447656,0.0,0.0,0.0,0.0,0.023809523809523808,0.012570698805149218
83,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
84,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
85,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
86,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
87,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.07142857142857142,0.21340445658105575,0.0,0.0,0.023809523809523808,0.07113481886035192
90,0.0,0.0,0.07142857142857142,0.21340445658105575,0.0,0.0,0.023809523809523808,0.07113481886035192
91,0.0,0.0,0.07142857142857142,0.21340445658105575,0.0,0.0,0.023809523809523808,0.07113481886035192
92,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
93,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
94,0.0,0.0,0.21428571428571427,0.42134791464731375,0.0,0.0,0.07142857142857142,0.14044930488243793
95,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
96,0.0,0.0,0.21428571428571427,0.42134791464731375,0.0,0.0,0.07142857142857142,0.14044930488243793
97,0.0,0.0,0.2857142857142857,0.46896488522063323,0.0,0.0,0.09523809523809523,0.15632162840687774
98,0.0,0.0,0.21428571428571427,0.42134791464731375,0.0,0.0,0.07142857142857142,0.14044930488243793
99,0.0,0.0,0.14285714285714285,0.29191156881158997,0.0,0.0,0.047619047619047616,0.09730385627053
100,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
101,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
102,0.0,0.0,0.07142857142857142,0.21340445658105575,0.0,0.0,0.023809523809523808,0.07113481886035192
103,0.07142857142857142,0.06217673552284261,0.0,0.0,0.0,0.0,0.023809523809523808,0.020725578507614206
104,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.07142857142857142,0.06609312883468343,0.0,0.0,0.14285714285714285,0.2460822588655854,0.07142857142857142,0.10405846256675629
107,0.0,0.0,0.21428571428571427,0.40425879811123877,0.0,0.0,0.07142857142857142,0.13475293270374625
108,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
109,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
110,0.0,0.0,0.07142857142857142,0.1294363458357238,0.42857142857142855,0.41553835555925145,0.16666666666666666,0.1816582337983251
111,0.0,0.0,0.07142857142857142,0.1294363458357238,0.0,0.0,0.023809523809523808,0.04314544861190794
112,0.0,0.0,0.0,0.0,0.2857142857142857,0.07510803571071295,0.09523809523809523,0.025036011903570982
113,0.0,0.0,0.21428571428571427,0.40425879811123877,0.0,0.0,0.07142857142857142,0.13475293270374625
114,0.0,0.0,0.2857142857142857,0.4827659103417729,0.14285714285714285,0.02019966188034749,0.14285714285714285,0.16765519074070678
115,0.0,0.0,0.21428571428571427,0.40425879811123877,0.0,0.0,0.07142857142857142,0.13475293270374625
116,0.0,0.0,0.2857142857142857,0.4415106955580269,0.14285714285714285,0.40572105453362595,0.14285714285714285,0.2824105833638843
117,0.0,0.0,0.21428571428571427,0.40425879811123877,0.14285714285714285,0.2460822588655854,0.11904761904761903,0.21678035232560808
118,0.0,0.0,0.07142857142857142,0.1294363458357238,0.2857142857142857,0.5549774893469445,0.11904761904761903,0.22813794506088944
119,0.0,0.0,0.07142857142857142,0.1294363458357238,0.2857142857142857,0.4259207164139734,0.11904761904761903,0.18511902074989905
120,0.0,0.0,0.0,0.0,0.5714285714285714,0.8212594100928774,0.19047619047619047,0.2737531366976258
121,0.0,0.0,0.0,0.0,0.5714285714285714,0.8212594100928774,0.19047619047619047,0.2737531366976258
122,0.0,0.0,0.07142857142857142,0.21340445658105575,0.5714285714285714,0.8212594100928774,0.21428571428571427,0.34488795555797774
123,0.0,0.0,0.14285714285714285,0.3428408024167795,0.42857142857142855,0.6720029752795589,0.19047619047619047,0.3382812592321128
124,0.0,0.0,0.14285714285714285,0.3428408024167795,0.42857142857142855,0.6720029752795589,0.19047619047619047,0.3382812592321128
125,0.0,0.0,0.07142857142857142,0.07850711223053414,0.2857142857142857,0.26628192074593293,0.11904761904761903,0.11492967765882235
126,0.0,0.0,0.0,0.0,0.7142857142857143,0.8545630222959569,0.2380952380952381,0.28485434076531896
127,0.0,0.0,0.07142857142857142,0.1294363458357238,0.5714285714285714,0.3544939067793778,0.21428571428571427,0.16131008420503387
128,0.0,0.0,0.0,0.0,0.2857142857142857,0.07510803571071295,0.09523809523809523,0.025036011903570982
129,0.0,0.0,0.07142857142857142,0.1294363458357238,0.7142857142857143,0.8761677839232428,0.2619047619047619,0.3352013765863222
130,0.0,0.0,0.07142857142857142,0.21340445658105575,0.14285714285714285,0.02019966188034749,0.07142857142857142,0.07786803948713442
131,0.0,0.0,0.07142857142857142,0.21340445658105575,0.0,0.0,0.023809523809523808,0.07113481886035192
132,0.0,0.0,0.14285714285714285,0.3428408024167795,0.42857142857142855,0.6720029752795589,0.19047619047619047,0.3382812592321128
133,0.0,0.0,0.14285714285714285,0.3428408024167795,0.42857142857142855,0.6720029752795589,0.19047619047619047,0.3382812592321128
134,0.07142857142857142,0.05940132373592022,0.14285714285714285,0.2079434580662579,0.7142857142857143,0.8545630222959569,0.30952380952380953,0.37396926803271163
135,0.0,0.0,0.35714285714285715,0.520017807788561,0.5714285714285714,0.7625315791532365,0.30952380952380953,0.42751646231393253
136,0.07142857142857142,0.1690138903246471,0.07142857142857142,0.21340445658105575,0.7142857142857143,0.7602149613130037,0.28571428571428575,0.3808777694062355
137,0.14285714285714285,0.16468884192204947,0.0,0.0,0.2857142857142857,0.43902466673670537,0.14285714285714285,0.20123783621958494
138,0.14285714285714285,0.16468884192204947,0.14285714285714285,0.3428408024167795,0.0,0.0,0.09523809523809523,0.169176548112943
139,0.14285714285714285,0.16468884192204947,0.14285714285714285,0.3428408024167795,0.0,0.0,0.09523809523809523,0.169176548112943
140,0.07142857142857142,0.06217673552284261,0.07142857142857142,0.07850711223053414,0.0,0.0,0.047619047619047616,0.04689461591779225
141,0.0,0.0,0.14285714285714285,0.3428408024167795,0.42857142857142855,0.7067116872295768,0.19047619047619047,0.34985082988211874
142,0.0,0.0,0.14285714285714285,0.3428408024167795,0.0,0.0,0.047619047619047616,0.11428026747225983
143,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.14285714285714285,0.16837047109278683,0.0,0.0,0.0,0.0,0.047619047619047616,0.05612349036426228
146,0.07142857142857142,0.06609312883468343,0.0,0.0,0.0,0.0,0.023809523809523808,0.02203104294489448
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.2857142857142857,0.11072826575402527,0.09523809523809523,0.036909421918008424
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.14285714285714285,0.17506227619155,0.0,0.0,0.0,0.0,0.047619047619047616,0.05835409206385
152,0.07142857142857142,0.06609312883468343,0.0,0.0,0.0,0.0,0.023809523809523808,0.02203104294489448
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.07142857142857142,0.06609312883468343,0.0,0.0,0.0,0.0,0.023809523809523808,0.02203104294489448
157,0.07142857142857142,0.10896914735686658,0.0,0.0,0.0,0.0,0.023809523809523808,0.03632304911895553
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.07142857142857142,0.10896914735686658,0.0,0.0,0.0,0.0,0.023809523809523808,0.03632304911895553
163,0.07142857142857142,0.10896914735686658,0.0,0.0,0.0,0.0,0.023809523809523808,0.03632304911895553
164,0.21428571428571427,0.2372390117143926,0.0,0.0,0.0,0.0,0.07142857142857142,0.0790796705714642
165,0.07142857142857142,0.06609312883468343,0.21428571428571427,0.42134791464731375,0.0,0.0,0.09523809523809523,0.1624803478273324
166,0.14285714285714285,0.12826986435752605,0.14285714285714285,0.274822452275515,0.14285714285714285,0.2460822588655854,0.14285714285714285,0.21639152516620883
167,0.14285714285714285,0.1711458828797092,0.07142857142857142,0.21340445658105575,0.0,0.0,0.07142857142857142,0.12818344648692165
168,0.21428571428571427,0.2736579892789161,0.0,0.0,0.0,0.0,0.07142857142857142,0.0912193297596387
169,0.07142857142857142,0.06217673552284261,0.0,0.0,0.0,0.0,0.023809523809523808,0.020725578507614206
170,0.14285714285714285,0.16468884192204947,0.0,0.0,0.0,0.0,0.047619047619047616,0.05489628064068316
171,0.21428571428571427,0.23078197075673293,0.0,0.0,0.0,0.0,0.07142857142857142,0.07692732358557765
172,0.07142857142857142,0.06217673552284261,0.0,0.0,0.0,0.0,0.023809523809523808,0.020725578507614206
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.14285714285714285,0.1711458828797092,0.0,0.0,0.0,0.0,0.047619047619047616,0.05704862762656973
176,0.07142857142857142,0.06609312883468343,0.0,0.0,0.0,0.0,0.023809523809523808,0.02203104294489448
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
179,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
182,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
183,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.07142857142857142,0.0360287240733514,0.0,0.0,0.14285714285714285,0.2460822588655854,0.07142857142857142,0.09403699431297895
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.14285714285714285,0.2460822588655854,0.047619047619047616,0.0820274196218618
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
