Window_Size,2020 Covid_Std,2020 Covid_Wgt,2024 Ueda_Std,2024 Ueda_Wgt,2025 Tariff_Std,2025 Tariff_Wgt,Average_Std,Average_Wgt
5,0.0,0.0,0.11764705882352941,0.08543821703643577,0.42857142857142855,0.664627743200634,0.18207282913165265,0.25002198674568993
6,0.0,0.0,0.058823529411764705,0.012242719299400115,0.2857142857142857,0.6115723028398148,0.11484593837535013,0.20793834071307163
7,0.0,0.0,0.11764705882352941,0.0800612918770139,0.2857142857142857,0.6115723028398148,0.13445378151260504,0.23054453157227625
8,0.0,0.0,0.17647058823529413,0.014656059011269552,0.42857142857142855,0.664627743200634,0.20168067226890754,0.22642793407063452
9,0.0,0.0,0.0,0.0,0.42857142857142855,0.664627743200634,0.14285714285714285,0.221542581066878
10,0.0,0.0,0.058823529411764705,0.0012008294513556855,0.42857142857142855,0.664627743200634,0.16246498599439776,0.22194285755066323
11,0.0,0.0,0.11764705882352941,0.009001459418779757,0.42857142857142855,0.664627743200634,0.18207282913165265,0.22454306753980458
12,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.11571388568030051,0.42857142857142855,0.7328062436225593,0.2077138547726783,0.29027285493677185
13,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.20997911271281244,0.5714285714285714,0.6801284885160813,0.2553329023917259,0.30413534557878313
14,0.07692307692307693,0.022298435507455687,0.23529411764705882,0.3870553339859123,0.2857142857142857,0.3507076288055869,0.19931049342814047,0.25335379943298497
15,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.20997911271281244,0.42857142857142855,0.4037630691664062,0.2077138547726783,0.21201353912889145
16,0.0,0.0,0.11764705882352941,0.20997911271281244,0.2857142857142857,0.3183011151731374,0.13445378151260504,0.1760934092953166
17,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.24065622250658325,0.2857142857142857,0.6115723028398148,0.16009480715363067,0.2915089869512846
18,0.07692307692307693,0.022298435507455687,0.058823529411764705,0.04251838794326486,0.42857142857142855,0.664627743200634,0.1881060116354234,0.24314818888378484
19,0.0,0.0,0.17647058823529413,0.1097943215520259,0.5714285714285714,0.7500896971939027,0.24929971988795518,0.2866280062486429
20,0.07692307692307693,0.03447373454873924,0.11764705882352941,0.054761107242664975,0.2857142857142857,0.6115723028398148,0.16009480715363067,0.23360238154373966
21,0.07692307692307693,0.022298435507455687,0.058823529411764705,0.07319549773703565,0.14285714285714285,0.2652456748123182,0.09286791639732817,0.12024653601893652
22,0.0,0.0,0.058823529411764705,0.04251838794326486,0.0,0.0,0.0196078431372549,0.014172795981088287
23,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.11571388568030051,0.0,0.0,0.06485671191553545,0.0460041070625854
24,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.054761107242664975,0.0,0.0,0.06485671191553545,0.025686514250040222
25,0.0,0.0,0.17647058823529413,0.21239877032994436,0.0,0.0,0.05882352941176471,0.07079959010998145
26,0.0,0.0,0.058823529411764705,0.04251838794326486,0.0,0.0,0.0196078431372549,0.014172795981088287
27,0.15384615384615385,0.05677217005619493,0.23529411764705882,0.15231270949529077,0.14285714285714285,0.2652456748123182,0.17733247145011852,0.15811018478793462
28,0.07692307692307693,0.03447373454873924,0.058823529411764705,0.07319549773703565,0.0,0.0,0.04524886877828055,0.035889744095258296
29,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.08543821703643577,0.0,0.0,0.06485671191553545,0.03591221751463048
30,0.0,0.0,0.17647058823529413,0.25619822433968703,0.0,0.0,0.05882352941176471,0.085399408113229
31,0.0,0.0,0.058823529411764705,0.012242719299400115,0.0,0.0,0.0196078431372549,0.004080906433133372
32,0.0,0.0,0.23529411764705882,0.13454604039963625,0.0,0.0,0.0784313725490196,0.04484868013321208
33,0.0,0.0,0.11764705882352941,0.014662376916532043,0.14285714285714285,0.3463266280274966,0.0868347338935574,0.12032966831467622
34,0.0,0.0,0.11764705882352941,0.014662376916532043,0.0,0.0,0.0392156862745098,0.004887458972177347
35,0.0,0.0,0.058823529411764705,0.012242719299400115,0.0,0.0,0.0196078431372549,0.004080906433133372
36,0.0,0.0,0.058823529411764705,0.012242719299400115,0.0,0.0,0.0196078431372549,0.004080906433133372
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.014662376916532043,0.14285714285714285,0.05305544036081923,0.11247575953458307,0.030005417594935652
39,0.07692307692307693,0.022298435507455687,0.058823529411764705,0.0024196576171319276,0.0,0.0,0.04524886877828055,0.008239364374862538
40,0.07692307692307693,0.022298435507455687,0.17647058823529413,0.0821969571558154,0.0,0.0,0.08446455505279034,0.0348317975544237
41,0.0,0.0,0.058823529411764705,0.07319549773703565,0.14285714285714285,0.3463266280274966,0.06722689075630252,0.1398407085881774
42,0.0,0.0,0.0,0.0,0.2857142857142857,0.6115723028398148,0.09523809523809523,0.20385743427993827
43,0.0,0.0,0.0,0.0,0.14285714285714285,0.3463266280274966,0.047619047619047616,0.11544220934249887
44,0.0,0.0,0.0,0.0,0.14285714285714285,0.05305544036081923,0.047619047619047616,0.017685146786939745
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.07692307692307693,0.022298435507455687,0.0,0.0,0.2857142857142857,0.6115723028398148,0.12087912087912088,0.21129024611575684
47,0.0,0.0,0.0,0.0,0.14285714285714285,0.05305544036081923,0.047619047619047616,0.017685146786939745
48,0.0,0.0,0.058823529411764705,0.0024196576171319276,0.14285714285714285,0.05305544036081923,0.06722689075630252,0.01849169932598372
49,0.0,0.0,0.17647058823529413,0.32852700447374084,0.14285714285714285,0.11317561670790569,0.10644257703081232,0.14723420706054882
50,0.07692307692307693,0.03447373454873924,0.11764705882352941,0.19941571026657276,0.2857142857142857,0.6115723028398148,0.16009480715363067,0.2818205825517089
51,0.07692307692307693,0.03447373454873924,0.11764705882352941,0.19941571026657276,0.0,0.0,0.06485671191553545,0.07796314827177066
52,0.0,0.0,0.0,0.0,0.14285714285714285,0.2652456748123182,0.047619047619047616,0.0884152249374394
53,0.07692307692307693,0.022298435507455687,0.11764705882352941,0.20997911271281244,0.0,0.0,0.06485671191553545,0.07742584940675605
54,0.15384615384615385,0.05677217005619493,0.0,0.0,0.0,0.0,0.05128205128205129,0.01892405668539831
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.14285714285714285,0.05305544036081923,0.047619047619047616,0.017685146786939745
57,0.07692307692307693,0.03447373454873924,0.058823529411764705,0.07319549773703565,0.0,0.0,0.04524886877828055,0.035889744095258296
58,0.0,0.0,0.0,0.0,0.14285714285714285,0.11317561670790569,0.047619047619047616,0.037725205569301895
59,0.07692307692307693,0.03447373454873924,0.17647058823529413,0.24153105611482287,0.14285714285714285,0.11317561670790569,0.13208360267183797,0.12972680245715593
60,0.07692307692307693,0.03447373454873924,0.23529411764705882,0.47976762100427417,0.0,0.0,0.10407239819004525,0.1714137851843378
61,0.07692307692307693,0.022298435507455687,0.058823529411764705,0.1674607247695476,0.2857142857142857,0.3183011151731374,0.14048696401637578,0.1693534251500469
62,0.0,0.0,0.23529411764705882,0.41881484256663865,0.2857142857142857,0.16623105706872493,0.1736694677871148,0.19501529987845453
63,0.07692307692307693,0.09314273774452943,0.17647058823529413,0.2748353887044416,0.42857142857142855,0.7247479195477204,0.2273216979099332,0.3642420153322305
64,0.0,0.0,0.058823529411764705,0.012242719299400115,0.42857142857142855,0.664627743200634,0.16246498599439776,0.22562348750001138
65,0.23076923076923078,0.23316087817478126,0.0,0.0,0.14285714285714285,0.05305544036081923,0.12454212454212454,0.09540543951186682
66,0.23076923076923078,0.23316087817478126,0.23529411764705882,0.44909051121050336,0.42857142857142855,0.664627743200634,0.2982115923292394,0.4489597108619729
67,0.23076923076923078,0.26957617501861636,0.11764705882352941,0.17970344406894773,0.42857142857142855,0.664627743200634,0.25899590605472955,0.37130245409606605
68,0.38461538461538464,0.36817671629753085,0.17647058823529413,0.2748353887044416,0.0,0.0,0.1870286576168929,0.21433736833399078
69,0.15384615384615385,0.07106566573048981,0.11764705882352941,0.31144017863174467,0.0,0.0,0.0904977375565611,0.1275019481207448
70,0.38461538461538464,0.44151117759701336,0.11764705882352941,0.1562221731615972,0.14285714285714285,0.2652456748123182,0.2150398620986856,0.2876596751903096
