Feature,2020 Covid,2024 Ueda,2025 Tariff,Average
RSI_14,7514.5540044022855,34242.187548198,36657.081752095786,26137.941101565357
Vol_20,8540.845309529657,16437.284457227688,18520.46662580712,14499.532130854821
Momentum_10,10970.942826467026,9099.383389362298,14210.93979858419,11427.088671471172
Return,4794.0768771408375,12977.038381486942,12426.784196234468,10065.966484954082
